爱好[趣味] しゅみ
特长(拿手的技术)[特技] とくぎ
兴趣[興味] きょうみ
梦(理想)[夢] ゆめ
吉他 ギター
胡琴[胡弓] こきゅう
书法[書道] しょどう
钓鱼[釣り] つり
兜风(开汽车远行) ドライブ
编织(编织品)[編み物] あみもの
手工做(自己做)(手制)[手作り] てづくり
中华街[中華街] ちゅうかがい
中国菜[中華料理] ちゅうかりょうり
饺子[餃子] ぎょうざ
皮[皮] かわ
春节[春節] しゅんせつ
狮子舞[獅子舞] ししまい
宿舍[寮] りょう
洗衣机[洗濯機] せんたくき
淋浴 シャワー
肚子 おなか
授课(上课)[授業] じゅぎょう
资料[資料] しりょう
法语 フランス語
小说[小説] しょうせつ
海岸[海岸] かいがん
寒假[冬休み] ふゆやすみ
野营 キャンプ
大家 みんな
自己[自分] じぶん
全员[全員] ぜんいん
弹[弾く] ひく
肚子饿(空) すく
登(上)[登る] のぼる
收集[集める] あつめる
淋(浇)[浴びる] あびる
请客(摆盛宴) ごちそうする
回国[帰国する] きこくする
特别[特に] とくに
肚子饿(短语) おなかがすきます
