大雨[大雨] おおあめ
樱花[桜] さくら
风[風] かぜ
月亮[月] つき
表[表] ひょう
握手[握手] あくしゅ
习惯[習慣] しゅうかん
鞠躬[お辞儀] おじぎ
寒暄[挨拶] あいさつ
手[手] て
顾客(客人)[お客さん] おきゃくさん
一般(普通)[普通] ふつう
这次(下面)(下回)[次] つぎ
超市 スーパー
费用[料金] りょうきん
会费[会費] かいひ
降价出售 バーゲン
信用卡 クレジットカード
彩色铅笔[色鉛筆] いろえんぴつ
丰收[豊作] ほうさく
关系(友情)(友谊)[仲] なか
忘记的东西[忘れ物] わすれもの
防御(防备)(防守)[防ぐ] ふせぐ
走访(转)(绕弯)[回る] まわる
吹[吹く] ふく
举起(举)[挙げる] あげる
足(够)[足りる] たりる
素描(写生) スケッチする
发言[発言する] はつげんする
得冠军[優勝する] ゆうしょうする
及格(合格)[合格する] ごうかくする
约定[約束する] やくそくする
也许 もしかしたら
不知不觉的(无意的) つい
就要(立刻)(马上) すぐに
大部分(几乎) ほとんど
因此 それで
铃木[鈴木] すずき
杨[楊] よう
加藤[加藤] かとう
叶子[葉子] ようこ
阳光百货商店 ひかりデパート
北京猛虎队 ぺきんタイガース
寒暄拜访 あいさつまわり
不行(不好)(不可以)(简体形) いけない
