经济[経済] けいざい
国际关系学[国際関係学] こくさいかんけいがく
许多(众多)[大勢] おおぜい
高中[高校] こうこう
日记[日記] にっき
教师[教師] きょうし
老年人[お年寄り] おとしより
广播体操[ラジオ体操] ラジオたいそう
交际舞[社交ダンス] しゃこうダンス
乒乓球[卓球] たっきゅう
篮球 バスケットボール
体育中心 スポーツセンター
门票(入园费)[入園料] にゅうえんりょう
收费[有料] ゆうりょう
奖[賞] しょう
乐曲(歌曲)[曲] きょく
诗歌[詩] し
信号(红绿灯)[信号] しんごう
剪刀 はさみ
零部件[部品] ぶひん
打工(工读) アルバイト
演说(演讲) スピーチ
图表 グラフ
策划(计划)[企画] きかく
说明[説明] せつめい
饭[ご飯] ごはん
砂糖[砂糖] さとう
海外旅行[海外旅行] かいがいりょこう
事情 こと
爷爷[お爺さん] おじいさん
奶奶[お婆さんは] おばあさん
姐姐[姉] あね
上学(来往)(动1)[通う] かよう
聚(集合)(动1)[集まる] あつまる
跳舞(动1)[踊る] おどる
要(动1)[要る] いる
为难(难办)(动1)[困る] こまる
拍(打)(敲)(动1) たたく
放入(放进)(动2)[入れる] いれる
护理(动3)[看病する] かんびょうする
吵架(打架)(动3) けんかする
利用(动3)[利用する] りようする
商谈(动3)[相談する] そうだんする
另外 ほかに
许久(好久)(片刻) しばらく
木下[木下] きのした
田村[田村] たむら
前几天[この前] このまえ
这么说来(说起来)[そう言えば] そういえば
察觉(短语)[気が付きます] きがつきます
好久不见(短语) しばらくです
