提问(问题)[質問] しつもん
场合(情况)[場合] ばあい
麻烦[迷惑] めいわく
紫藤 フジ
喜鹊 カササギ
鸟[鳥] とり
符号 マーク
标记[標識] ひょうしき
禁止横穿[横断禁止] おうだんきんし
速度 スピード
许可证(执照)[免許証] めんきょしょう
计划书[企画書] きかくしょ
棒球场[野球場] やきゅうじょう
桌子 テーブル
电视讲座[テレビ講座] テレビこうざ
汉字[漢字] かんじ
战争[戦争] せんそう
警察[警官] けいかん
年长者[年上] としうえ
停(停住)(动1)[止まる] とまる
变(转变)(动1)[変わる] かわる
拼命努力(动1)[頑張る] がんばる
道歉(动1)[謝る] あやまる
逃学(怠工)(动1) サボる 
爽约(打破)(动1)[破る] やぶる
拉(抽)(动1)[引く] ひく
遵守(保护)(动1)[守る] まもる 
回答(动2)[答える] こたえる 
逃跑(动2)[逃げる] にげる 
帮助(救助)(动2)[助ける] たすける
添加(附加)(动2)[付ける] つける
记住(掌握)(动2)[覚える] おぼえる
提出(提交)(动3)[提出する] ていしゅつする
客气(动3)[遠慮する] えんりょする
射门(投篮)(动3) シュートする
注意(动3)[注意する] ちゅういする
熟悉(亲密)(亲切)(形1)[親しい] したしい
粗暴(形2)[乱暴] らんぼう
不礼貌(形2)[失礼] しつれい
一样(相同)(形2)[同じ] おなじ
危险(形2)[危険] きけん
那样的 そんな
恭敬的(细心的)(副)[丁寧に] ていねいに
阿城[誠] まこと
周恩来[周恩来] しゅうおんらい
鲁迅[魯迅] ろじん
世田谷[世田谷] せたがや
富士[富士] ふじ
怪[変わった] かわった
感冒 かぜをひきます
