书[本] ほん
包，公文包 かばん
笔记本，本子 ノート
铅笔[鉛筆] えんぴつ
伞[傘] かさ
鞋[靴] くつ
报纸[新聞] しんぶん
杂志 ざっし
词典[辞書] じしょ
照相机 カメラ
电视机 テレビ
个人电脑 パソコン
收音机 ラジオ
电话[電話] でんわ
桌子，书桌[机] つくえ
椅子 いす
钥匙，锁 かぎ
钟，表[時計] とけい
记事本[手帳] てちょう
照片[写真] しゃしん
车[車] くるま
自行车[自転車] じてんしゃ
礼物[お土産] おみやげ
特产，名产[名産品] めいさんひん
丝绸 シルク
手绢 ハンカチ
公司[会社] かいしゃ
位，人（尊敬）[方] かた
人[人] ひと
家人，家属[家族] かぞく
（我）母亲[母] はは
母亲[お母さん] おかあさん
日语[日本語] にほんご
汉语，中文[中国語] ちゅうごくご
这，这个 これ
那，那个1 それ
那，那个2 あれ
哪个 どれ
什么[何] なん
谁 だれ
哪位 どなた
这，这个【连体】 この
那，那个1【连体】 その
那，那个2【连体】 あの
哪个【连体】 どの
长岛[長島] ながしま
日本[日本] にほん
汕头 すわとう
伦敦 ろんどん
多大 おいくつ
何／歳 なんさい
