按钮(纽扣) ボタン
胸针 ブローチ
窗帘(帘子) カーテン
混凝土(水泥) コンクリート
塑胶(塑料) プラスチック
翡翠[翡翠] ひすい
维修服务中心 サービスセンター
会员[会員] かいいん
优惠[特典] とくてん
洗手间[お手洗い] おてあらい
楼梯(台阶)[階段] かいだん
以后[以降] いこう
旁边 そば
乒乓球台[卓球台] たっきゅうだい
大小(尺寸) サイズ
人(人类)[人間] にんげん
天鹅[白鳥] はくちょう
电源[電源] でんげん
西瓜 スイカ
按(推)(挤)(动1)[押す] おす
灯亮(灯开)(动1) つく
下降(降低)(动1)[下がる] さがる
生气(动1)[怒る] おこる
转(传送)(传递)(动1)[回す] まわす
运转(转动)(动1)[動く] うごく
活(生存)(动2)[生きる] いきる
下(下来)(动2)[下りる] おりる
总结(整理)(汇集)(动2) まとめる
死机(动3) フリーズする
故障(动3)[故障する] こしょうする
美丽(形1)[美しい] うつくしい
高明(好吃)(可口)(形1) うまい
详细(形1)[詳しい] くわしい
自由(形2)[自由] じゆう
精心(细心)(恭敬)(形2)[丁寧] ていねい
好好的(正经的) きちんと
不过(可是) ただし
可是(但是)(でも的书面语) しかし
不舒服[気持ち悪い] きもちわるい
