火车[列車] れっしゃ
高速公共汽车[高速バス] こうそくバス
出发时间[出発時刻] しゅっぱつじこく
旅行计划[旅行予定] りょこうよてい
天气预报[天気予報] てんきよほう
台风[台風] たいふう
传说(风言风语) うわさ
宣传[宣伝] せんでん
节目[番組] ばんぐみ
新型[新型] しんがた
奖金 ボーナス
面条 ラーメン
牛奶[牛乳] ぎゅうにゅう
新年假日[正月休み] しょうがつやすみ
体育用品[スポーツ用品] スポーツようひん
流感(流行性感冒) インフルエンザ
分店(分公司)[支店] してん
小学[小学校] しょうがっこう
游乐园[遊園地] ゆうえんち
首相[首相] しゅしょう
历史[歴史] れきし
她[彼女] かのじょ
开(举行)(动1)[行う] おこなう
提高(涨)(动1)[上がる] あがる
换乘(动2)[乗り換える] のりかえる
辞去(动2)[辞める] やめる
留学(动3)[留学する] りゅうがくする
入学(动3)[入学する] にゅうがくする
流行(动3)[流行する] りゅうこうする
住院(动3)[入院する] にゅういんする
打扰(拜访)(动3)[お邪魔する] おじゃまする
承担(动3)[担当する] たんとうする
强(坚强)(形1)[強い] つよい
爽快(坦率)(形2)[気さく] きさく
各种各样的 いろんな
一直(始终) ずっと
刘英[劉英] りゅうえい
泰国 タイ
打扰了[お邪魔しました]  おじゃましました
风大[風が強い] かぜがつよい
