旅行箱 スーツケース
后备箱(手提箱)(皮箱) トランク
西服(女套装) スーツ
裤子 ズボン
凉鞋 サンダル
帽子[帽子] ぼうし
手表[腕時計] うでどけい
小东西(细小的附件)[小物] こもの
司机[運転手] うんてんしゅ
空[空] から
运动会[運動会] うんどうかい
队(团体) チーム
最后[最後] さいご
重逢(再会)[再会] さいかい
好久不见[久しぶり] ひさしぶり
柿子 カキ
关闭(关)(动1)[閉まる] しまる
弄坏(动1)[壊す] こわす
挂(悬挂)(动1)[掛かる] かかる
挂(动2)[掛ける] かける
盖(建造)(动2)[建てる] たてる
盖(建)(动1)[建つ] たつ
脏(动2)[汚れる] よごれる
弄脏(动1)[汚す] よごす
割开(打破)(打坏)(动1)[割る] わる
裂开(破裂)(动2)[割れる] われる
附带(附加)(动1)[付く] つく
停(停息)(停止)(动1) やむ
排队(排)(列队)(动1)[並ぶ] ならぶ
到(到达)(动1)[着く] つく
戴(动1) かぶる
穿(鞋)(裤子)(动1) はく
饲养(动1)[飼う] かう
熄灭(消失)(动2)[消える] きえる
落下(掉)(动2)[落ちる] おちる
输(败)(动2)[負ける] まける
了不起(伟大)(形1)[偉い] えらい
容易(简易)(快乐)(轻松)(形2)[楽] らく
可惜(遗憾)(形2)[残念] ざんねん
突然[急に] きゅうに
全部[全部] ぜんぶ
照旧(依然)[相変わらず] あいかわらず
不留神(不注意) うっかり
即便那样(话虽如此) それにしても
好久不见[お久しぶりです] おひさしぶりです
