挂历(日历) カレンダー
宣传画(海报) ポスター
紧张的日程 ハードスケジュール
咖喱饭 カレーライス
珍藏(私藏) とっておき
原产地(发源地)[本場] ほんば
门口(玄关)[玄関] げんかん
橱柜(文件柜) ロッカー
包(手提包) バッグ
旅行社[旅行社] りょこうしゃ
视察团[視察団] しさつだん
到达(抵达)[到着] とうちゃく
回程(回家)[帰り] かえり
打包(带回)[持ち帰り] もちかえり
事故[事故] じこ
花束[花束] はなたば
发布会[発表会] はっぴょうかい
论文[論文] ろんぶん
减肥 ダイエット
奥运会(奥林匹克) オリンピック
到处(处处) あちこち
烤(烧)(烧毁)(动1)[焼く] やく
挣钱(赚钱)(动1)[稼ぐ] かせぐ
剩余(剩下)(动1)[残る] のこる
卷(包裹)(动1)[包む] つつむ
点菜(请求)(托付)(动1)[頼む] たのむ
粘(贴)(动1) はる
装饰(动1)[飾る] かざる
收拾起来(放到-里边)(动1) しまう
合适(适合)(动1)[合う] あう
放回(返还)(返回)(动1)[戻す] もどす
积攒(储存)(动2) ためる
排列(动2)[並べる] ならべる
寄存(托付)(动2)[預ける] あずける
继续(持续)(动2)[続ける] つづける
瘦(动2) やせる
拜访(访问)(动3)[訪問する] ほうもんする
存钱(储蓄)(动3)[貯金する] ちょきんする
欢迎(动3)[歓迎する] かんげいする
准备(动3)[用意する] よういする
奇怪(可笑)(不正常)(形1) おかしい
严重(厉害)(形1) ひどい
可惜(浪费)(过分)(形1) もったいない
优秀(优异)(形2)[優秀] ゆうしゅう
最好(最高)(形2)[最高] さいこう
充分(充足) しっかり
非常[非常に] ひじょうに
这么(这样地) こんなに
拼命地(努力地)[一生懸命] いっしょうけんめい
就这样(照这样)(如此) このまま
我开始吃了 いただきます
不客气 えんりょなく
