马拉松大会 マラソン大会
家庭聚会 ホームパーティー
游戏汽车(玩具汽车) ゴーカート
电子游戏 テレビゲーム
中止(中顿)[中止] ちゅうし
表达(表现)[表現] ひょうげん
反对[反対] はんたい
营业[営業] えいぎょう
库存(存货)[在庫] ざいこ
大人(成人)[大人] おとな
叔叔(伯伯)(舅舅) おじ
小学生[小学生] しょうがくせい
宇航员[宇宙飛行士] うちゅうひこうし
目录 カタログ
彩票[宝くじ] たからくじ
成绩[成績] せいせき
计算[計算] けいさん
橡皮[消しゴム] けしごむ
维生素片剂[ビタミン剤] ビタミンざい
二手货(旧货)[中古] ちゅうこ
机会[機会] きかい
休息日(假日)[休日] きゅうじつ
这次(这回)[今回] こんかい
这个月[今月] こんげつ
最终检查[最終点検] さいしゅうてんけん
有效(起作用)(动1)[効く] きく
祝贺(动1)[祝う] いわう
中(彩)(抽中)(动1)[当たる] あたる
空(有空)(动1)[空く] あく
腐烂(腐败)(动1)[腐る] くさる
找到(发现)(看见)(动2)[見つける] みつける
晴朗(天晴)(动2)[晴れる] はれる
访问(拜访)(动2)[訪ねる] たずねる
停留(滞留)(动3)[滞在する] たいざいする
休息(动3)[休憩する] きゅうけいする
参加(动3)[参加する] さんかする
干杯(动3)[乾杯する] かんぱいする
不恰当(奇怪)(反常)(形2)[変] へん
充分(完全)(形2)[完全] かんぜん
必要(必须)(形2)[必要] ひつよう
渐渐地(逐渐地) だんだん
如果(假如) もう
