开始的时候(最初)[最初] さいしょ
出生地[出身] しゅっしん
工厂[工場] こうじょう
烟筒[煙突] えんとつ
平底锅 フライパン
煎鸡蛋[卵焼き] たまごやき
操场(运动场) グラウンド
屋顶上(屋顶)[屋上] おくじょう
风筝[凧] たこ
磁带(音像带) テープ
读书[読書] どくしょ
申请[申請] しんせい
关西话(关西方言)[関西弁] かんさいべん
日常会话[日常会話] にちじょうかいわ
日本文化[日本文化] にほんぶんか 
生产成本 せいさんコスト
交通事故[交通事故] こうつうじこ
您丈夫(您先生)[ご主人] ごしゅじん
称斤卖(论重量卖)[量り売り] はかりうり
笑声[笑い声] わらいごえ
携带(拿着走)(动1)[持ち歩く] もちあるく
反复(动1)[繰り返す] くりかえす
吵嚷(吵闹)(动1)[騒ぐ] さわぐ
来得及(赶得上)(动1)[間に合う] まにあう
叫(鸣)(啼)(动1)[鳴く] なく
睡觉(动1)[眠る] ねむる
鸣响(响起)(动1)[鳴る] なる
喜悦(高兴)(动1)[喜ぶ] よろこぶ
有用(有益)(动1)[役立つ] やくだつ
雇佣(动1)[雇う] やとう
哭(哭泣)(动1)[泣く] なく
挥动(摆动)(动1)[振る] ふる
看到(看得见)(动2)[見える] みえる
听到(听得见)(动2)[聞こえる] きこえる
通过(相通)(动2)[通じる] つうじる
放风筝(扬起)(动2)[揚げる] あげる
习惯(动2)[慣れる] なれる
淋湿(打湿)(动2) ぬれる
着火(燃烧)(动2)[焼ける] やける
降低(下降)(动2)[下げる] さげる
出岔子(失败)(动3)[失敗する] しっぱいする
辛苦(辛劳)(动3)[苦労する] くろうする
吃惊(吓一跳)(动3) びっくりする
出席(动3)[出席する] しゅっせきする
悲伤(悲哀)(形1)[悲しい] かなしい
真的(形2) ほんと
特别是(总之) とにかく
还(尚)(仍) まだまだ
流利地(副词) ぺらぺら
哗啦哗啦(拟声词) ザーザー
香甜地(安静地)(副词) すやすや
弯曲(弯弯曲曲)(副词) くねくね
墨西哥 メキシコ
