事情[用事] ようじ
大会[大会] たいかい
规模[規模] きぼ
计划[計画] けいかく
规则[規則] きそく
费用[費用] ひよう
盐(食盐)[塩] しお
纪念章(奖牌) メダル
软件 ソフト
犯人(罪犯)[犯人] はんにん
河(河流)[川] かわ
火车(铁路)(铁道)[鉄道] てつどう
全长[全長] ぜんちょう
号码(番号)[番号] ばんごう
计量单位[単位] たんい
小匙(小勺)[小さじ] こさじ
音量 ボリューム
直达列车[直通列車] ちょくつうれっしゃ
世界遗产[世界遺産] せかいいさん
旅游点[観光スポット] かんこうスポット
超过(动2)[超える] こえる
参加(出场)(动3)[出場する] しゅつじょうする
释放(动3)[釈放する] しゃくほうする
偷吃(动3)[つまみ食いする] つまみぐいする
换算(动3)[換算する] かんさんする
复习(动3)[復習する] ふくしゅうする
成功(动3)[成功する] せいこうする
弱(脆弱)(柔弱)(形1)[弱い] よわい
严厉(严格)(形1)[厳しい] きびしい
奢望(奢侈)(过分)(形2) ぜいたく
偷偷地(悄悄地) こっそり
不愧是(果然) さすが
实地(实际上)[実際に] じっさいに
东大(东京大学)[東大] とうだい
八达岭[八達嶺] はったつれい
北京北站[北京北駅] ぺきんきたえき
