商品[商品] しょうひん
垃圾箱[ごみ箱] ごみばこ
杯子(杯) コップ
塑料瓶 ペットボトル
发动机(引擎) エンジン
轮胎 タイヤ
胡同 フートン
小巷(弄堂)[路地] ろじ
日本食品[日本食] にほんしょく
生鲜鱼(贝片)[刺し身] さしみ
橱柜(搁板)[棚] たな
草席(草垫)[畳] たたみ
和服(衣服)[着物] きもの
情况[具合] ぐあい
平假名[平仮名] ひらがな
婴儿(幼儿)[赤ちゃん] あかちゃん
一半[半分] はんぶん
最终[最終] さいしゅう
比赛(竞赛)[試合] しあい
英文报纸[英字新聞] えいじしんぶん
卫星广播[衛星放送] えいせいほうそう
精神紧张状态 ストレス
传统的(形2)[伝統的] でんとうてき
错综复杂(动1)[入り組む] いりくむ
减少(动1)[減る] へる
开动(移动)(摇动)(动1)[動かす] うごかす
取胜(获胜)(动1)[勝つ] かつ
走得出去(穿过)(通过)(动2)[通り抜ける] とおりぬける
感觉(觉得)(动2)[感じる] かんじる
更换(交换)(动2)[取り替える] とりかえる
熬通宵(彻夜)(动3)[徹夜する] てつやする
烫伤(烧伤)(动3)[火傷する] やけどする
总觉得(总有点) なんだか
上野动物园[上野動物園] うえのどうぶつえん
这一带(这附近)(这儿)[この辺] このへん
急急忙忙地(匆忙地)[急いで] いそいで
