村子(村庄)[村] むら
稻子[稲] いね
雾[霧] きり
城门(门)(大门)[門] もん
舞台[舞台] ぶたい
屋顶(房顶)[屋根] やね
琉璃瓦[瑠璃瓦] るりがわら
黄色(黄颜色)[黄色] きいろ
天空[空] そら
背景 バック
包租[貸し切り] かしきり
一般[一般] いっぱん
祖母(外婆)[祖母] そぼ
音乐会[音楽会] おんがくかい
爵士乐 ジャズ
露天音乐会[野外コンサート] やがいコンサート
日元升值[円高] えんだか
出口(输出)[輸出] ゆしゅつ
影响[影響] えいきょう
资源[資源] しげん
气温[気温] きおん
海上(湖心)[沖] おき
海外[海外] かいがい
鲸 クジラ
鲨鱼 サメ
以前[昔] むかし
别名[別名] べつめい
方(方面)[方] ほう
道路施工[道路工事] どうろこうじ
上下班高峰[通勤ラッシュ] つうきんラッシュ
禁止通行[通行禁止] つうこうきんし
远处(远方)[遠く] とおく
眺望(远眺)(动1)[見渡す] みわたす
继续(持续)(动1)[続く] つづく
完(丢失)(动1) なくなる
生长(成长)(动1)[育つ] そだつ
增加(增多)(动2)[増える] ふえる
带(领)(动2)[連れる] つれる
缺席(动3)[欠席する] けっせきする
进口(输入)(动3)[輸入する] ゆにゅうする
好不容易(特意) せっかく
绝对(一定)[絶対] ぜったい
是的是的 そうそう
紫禁城[紫禁城] しきんじょう
