小鸟(鸟儿)[小鳥] ことり
世博会(万国博览会)[万博] ばんぱく
遗址(遗迹)[遺跡] いせき
上司[上司] じょうし
扒手(小偷) すり
世代(一代)[世代] せだい
市场[市場] しじょう
调查[調査] ちょうさ
上市(运出货物)[出荷] しゅっか
成长[成長] せいちょう
牛肉[牛肉] ぎゅうにく
前年1 おととし
前年2[一昨年] いっさくねん
去年[昨年] さくねん
单轨铁路(单轨电车) モノレール
油(润滑油) オイル
跳舞(舞) ダンス
时代[時代] じだい
演员[役者] やくしゃ
女儿[娘] むすめ
小狗[子犬] こいぬ
都市[都会] とかい
剧场(剧院)[劇場] げきじょう
试映会(预映会)[試写会] ししゃかい
耳朵[耳] みみ
里头(内部)(深处)[奥] おく
情绪(心情)[機嫌] きげん
前几天(前些天)[先日] せんじつ
复印机[コピー機] コピーき
券(票)[券] けん
最晚航班[最終便] さいしゅうびん
入场卷(门票)[入場券] にゅうじょうけん
招待券(请帖)[招待券] しょうたいけん
回数券[回数券] かいすうけん
往~去(动1)[向かう] むかう
备齐(凑齐)(使一致)(动2) そろえる
漏(泄漏)(动2)[漏れる] もれる
开通(动3)[開通する] かいつうする
改建(动3)[改築する] かいちくする
完成(动3)[完成する] かんせいする
入社(动3)[入社する] にゅうしゃする
清(清代)[清] しん
让您久等了 おまたせしました
