暴风雨(风暴)[嵐] あらし
炸药 ダイナマイト
名称(命名)(取名) ネーミング
降低成本 コストダウン
低价[低価格] ていかかく
今后[今後] こんご
全部(所有) すべて
落汤鸡(湿透)(濡湿) びしょぬれ
吸引力(魅力)[魅力] みりょく
贪污事件[汚職事件] おしょくじけん
市场调查[市場調査] しじょうちょうさ
交通状况[交通事情] こうつうじじょう
合资公司[合弁会社] ごうべんがいしゃ
训(责备)(斥责)(动1) しかる
咬(嚼)(动1) かむ
邀请(约请)(动1)[誘う] さそう
卷入(卷进)(动1)[巻き込む] まきこむ
到达(达到)(动1)[至る] いたる
找到(发现)(动1)[見つかる] みつかる
踩(踏)(动1)[踏む] ふむ
谋求(考虑)(动1)[図る] はかる
预料(估计)(动1)[見込む] みこむ
盗取(偷盗)(动1)[盗む] ぬすむ
叫醒(唤醒)(动1)[起こす] おこす
表扬(赞扬)(动2) ほめる
要求(追求)寻求(动2)[求める] もとめる
欺负(折磨)(欺侮)(动2) いじめる
碰上(撞上)(扔)(投)(掷)(动2) ぶつける
发现(动3)[発見する] はっけんする
辞职(动3)[辞職する] じしょくする
成立(创立)(动3)[創立する] そうりつする
委托(请求)(动3)[依頼する] いらいする
上市(发售)(出售)(动3)[発売する] はつばいする
开发(动3)[開発する] かいはつする
生产(制造)(动3)[製造する] せいぞうする
管理(动3)[管理する] かんりする
实现(动3)[実現する] じつげんする
精炼(洗练)(动3)[洗練する] せんれんする
广播(播送)(动3)[放送する] ほうそうする
生产(动3)[生産する] せいさんする
翻译(笔译)(动3)[翻訳する] ほんやくする
发明(动3)[発明する] はつめいする
广泛(宽广)(辽阔)[幅広い] はばひろい
大幅(度)(广泛)[大幅] おおはば
大量[大量] たいりょう
最[最も] もっとも
牛顿 ニュートン
诺贝尔 ノーベル
澳大利亚 オーストラリア
公司 コンス
真糟糕(真倒霉)[参りました] まいりました
万有引力定律[万有引力の法則] ばんゆういんりょくのほうそく
