负责人[責任者] せきにんしゃ
同事[同僚] どうりょう
观众[観客] かんきゃく
空肚子(空腹)(饿)[空腹] くうふく
换气[換気] かんき
不在家[留守] るす
讲堂[講堂] こうどう
白天(白日)[昼間] ひるま
日程[日程] にってい
下次(下回)[次回] じかい
闹钟(叫醒)[目覚まし] めざまし
闹钟(闹铃) アラーム
策划方案[企画案] きかくあん
回信[お返事] おへんじ
去的地方(目的地)[行き先] いきさき
保管(收存)(动1)[預かる] あずかる
发觉(发现)(动1)[気づく] きづく
冰镇(冷却)(动1)[冷やす] ひやす
想起(想出)(动1)[思い出す] おもいだす
说(告诉)(动2)[告げる] つげる
变冷(感觉凉)(动2)[冷える] ひえる
相信(信任)(动2)[信じる] しんじる
折(断)(拐弯)(动2)[折れる] おれる
上班(出勤)(动3)[出勤する] しゅっきんする
设定(设置)(动3) セットする
讨论(动3)[検討する] けんとうする
正确的(形1)[正しい] ただしい
当然(应当)(形2)[当然] とうぜん
确实(确切)(大概)(形2)[確か] たしか
牢固(结实)(形2)[丈夫] じょうぶ
马上(立即)(副)[早速] さっそく
直接(副)[直接] ちょくせつ
一定(副) きっと
可是(但是) だって
西长安街[西長安街] にしちょうあんがい
不在家(无人在家)[留守にします] るすにします
帮忙(帮助)[お手伝い] おてつだい
换车(换乘)[乗り換え] のりかえ
想法(思想)[考え] かんがえ
女性专用(专为女性)[女性向け] じょせいむけ
申请(提议)[申し出] もうしで
感觉[感じ] かんじ
多(多数)[多く] おおく
部下[部下] ぶか
教练(领队)[監督] かんとく
运动员(选手)[選手] せんしゅ
消费者[消費者] しょうひしゃ
向导(导游)[案内役] あんないやく
双亲(父母)[親] おや
英语字母(拉丁字母) アルファベット
形象(印象) イメージ
冲击力(力量感) インパクト
玻璃(玻璃杯) ガラス
情绪(身体)舒适(与否)[気分] きぶん
