亲切感[親近感] しんきんかん
质量(品质)[品質] ひんしつ
物价[物価] ぶっか
免税店[免税店] めんぜいてん
说明书[説明書] せつめいしょ
私塾(补习学校)[塾] じゅく
例句[例文] れいぶん
会场[会場] かいじょう
设备[設備] せつび
洗的衣服[洗濯物] せんたくもの
东西(事物) もの
字[字] じ
妻子[妻] つま
我们[我々] われわれ
拉(拽)(动1)[引っ張る] ひっぱる
想起(浮)(浮现)(动1)[浮かぶ] うかぶ
齐备(完备)(动1)[整う] ととのう
干(干燥)(动1)[乾く] かわく
生活(动1)[暮らす] くらす
回避(避免)(动2)[避ける] さける
好卖(畅销)(动2)[売れる] うれる
感受(受到)(动2)[受ける] うける
热(温)(动2)[温める] あたためる
理解(动3)[理解する] りかいする
建议(提案)(动3)[提案する] ていあんする
试作(试制)(动3)[試作する] しさくする
经验(经历)(动3)[経験する] けいけんする
熟记(背诵)(动3)[暗記する] あんきする
早退(动3)[早退する] そうたいする
暂时停职(动3)[休職する] きゅうしょくする
强有力(心里踏实)(形1)[力強い] ちからつよい 
柔软(形1)[柔らかい] やわらかい
硬(形1)[硬い] かたい
厚(形1)[厚い] あつい
重要(形2)[重要] じゅうよう
单纯(形2)[単純] たんじゅん
理想(形2)[理想的] りそうてき
具体(形2)[具体的] ぐたいてき
新颖(崭新)(形2)[斬新] ざんしん
更加用力 ぐっと
比如(例如)[例えば] たとえば
而且 しかも
因此(于是)(所以)(那么) そこで
不言而喻[言うまでもなく] いうまでもなく
员工旅行[社員旅行] しゃいんりょこう
新来的职员[新入社員] しんにゅうしゃいん
会场[会議場] かいぎじょう
国际会议[国際会議] こくさいかいぎ
庭院式的啤酒店 ビアガーデン
大型超市[大型スーパー] おおがたスーパー
湖[湖] みずうみ
警车(巡逻车) パトカー
警笛(警报器) サイレン
动画片 アニメ
