能力(力量) パワー
心[心] こころ 
态度[態度] たいど
性格[性格] せいかく
评价(评论)[評判] ひょうばん
行列(队伍)[行列] ぎょうれつ
容器[容器] ようき
内容[内容] ないよう
销路(销售情况)[売れ行き] うれゆき
交通工具[乗り物] のりもの
汗[汗] あせ
倍(加倍)[倍] ばい
纵(竖)[縦] たて
全中国[中国全土] ちゅうごくぜんど
长期预报[長期予報] ちょうきよほう
笑[笑い] わらい
暑热(暑气)[暑さ] あつさ
美好(美丽程度)[美しさ] うつくしさ
趣味(有趣程度) おもしろさ
大小[大きさ] おおきさ
高度[高さ] たかさ
深度[深さ] ふかさ
长度[長さ] ながさ
面积[広さ] ひろさ
粗(度)[太さ] ふとさ
重量[重さ] おもさ
厚度[厚さ] あつさ
速度[速さ] はやさ
方便程度[便利さ] べんりさ
复杂程度[複雑さ] ふくざつさ
美味(好吃程度) おいしさ
重要性(重要程度)[重要さ] じゅうようさ
甜度[甘さ] あまさ
蔓延(拓宽)(动1)[広がる] ひろがる
返回(回到)(动1)[戻る] もどる
惊讶(吃惊)(动1)[驚く] おどろく
别致(风趣)打扮得漂亮(动2) しゃれる
切实感受(真切感受)(动3)[実感する] じっかんする
深(形1)[深い] ふかい
温顺(老实)(形1) おとなしい
害羞(难为情)(形1)[恥ずかしい] はずかしい
珍奇(新奇)(形1)[珍しい] めずらしい
豪华(奢华)(形2)[豪華] ごうか
顺利(情况良好)(形2)[好調] こうちょう
分量少(节制)(控制)拘谨(形2)[控えめ] ひかえめ
好评(称赞)(形2)[好評] こうひょう
重要(宝贵)(形2)[大事] だいじ
颇(相当) かなり
很(相当) けっこう
佐佐木[佐々木] ささき
琵琶湖[琵琶湖] びわこ
(希望号)[新干线的名称] のぞみ
托您的福 おかげさまで
首先是(无论如何) なんといっても
