孩子减少现象[少子化] しょうしか
人口[人口] じんこう
平均年龄[平均年齢] へいきんねんれい
交通[交通] こうつう
方便(便利)[便] べん
连接(衔接) アクセス
磁悬浮列车 リニアモーターカ
航班[便] びん
市内[市内] しない
乡下(农村)[田舎] いなか
中心地区[中心地] ちゅうしんち
现代化[近代化] きんだいか
现代人[現代人] げんだいじん
时间段[時間帯] じかんたい
情况(状况)势头[調子] ちょうし
长处(好处) よさ
房租[部屋代] へやだい
森林[森林] しんりん
地球[地球] ちきゅう
平均气温[平均気温] へいきんきおん
地球变暖现象[地球温暖化] ちきゅうおんだんか
冷冻食品[冷凍食品] れいとうしょくひん
高龄者[高齢者] こうれいしゃ
吸烟者[喫煙者] きつえんしゃ
旅行者[旅行者] りょこうしゃ
利用者[利用者] りようしゃ
烦恼[悩み] なやみ
市容(街道)(街景)[街並み] まちなみ
销售额(营业额)[売り上げ] うりあげ
憧憬 あこがれ
加重(前进)(动1)[進む] すすむ
刷(擦)(动1)[磨く] みがく
天阴(动1)[曇る] くもる
像(相似)(动2)[似る] にる
景观照明(动3) ライトアップする
普及(动3)[普及する] ふきゅうする
避雨(动3)[雨宿りする] あまやどりする
残酷(过分)激烈(形1) ひどい
简便(简单)(轻便)(形2)[手軽] てがる
迅速(快速)(形2)[急速] きゅうそく
以前[以前] いぜん
连接不断地(接二连三地) どんどん
越来越(更加) ますます
有点(总觉得)(有些)(好像) なんか
逐年(每年)[年々] ねんねん
清淡的或少量的食物[軽い物] かるいもの
