毛皮[毛皮] けがわ
真货(真东西)[本物] ほんもの
花纹(花样)[柄] がら
柠檬 レモン
酱汤[みそ汁] みそしる
祭日(节日)[お祭り] おまつり
摩托车[オートバイ] オートバイ
采访 インタビュー
计划 プラン
头疼[頭痛] ずつう
寒气(寒战)[寒気] さむけ
恶心(想要呕吐)[吐き気] はきけ
家务活[家事] かじ
面试[面接] めんせつ
事情(事件)[出来事] できごと
意见[意見] いけん
开设[開設] かいせつ
候选地[候補地] こうほち
一带(周围)[周り] まわり
明朗(快活)[明るさ] あかるさ
味道(气味) におい
肥皂 せっけん
香水[香水] こうすい
兰花 ラン
末尾(末了) すえ
最初[初め] はじめ
半月(半个月)[半月] はんつき
模特儿 モデル
警察[警察官] けいさつかん
相扑选手[お相撲さん] おすもうさん
歌舞伎演员[歌舞伎役者] かぶきやくしゃ
游泳选手[水泳選手] すいえいせんしゅ
结束(完了)(动1)[済む] すむ
堆积(积攒)(动1)[積もる] つもる
度过(生活)(动1)[過ごす] すごす
微笑(动1) ほほえむ
延长(动1)[延ばす] のばす
搞完(办完)(动2)[済ませる] すませる
枯萎(干燥)(动2)[枯れる] かれる
发送(寄送)(动3)[発送する] はっそうする
紧张(动3)[緊張する] きんちょうする
清爽(爽快)(形2) さわやか
好像(就像) まるで
典型的(实在)(的确) いかにも
外滩[外灘] わいたん
冲绳[沖縄] おきなわ
南京路[南京路] なんきんろ
最近(近来)(最近时期) このごろ
寻找事务所[事務所探し] じむしょさがし
