明天1[明日] みょうにち
明天2[明日] あす
昨天[昨日] さくじつ
这次(这回)[この度] このたび
我[私] わたくし
我们[私ども] わたくしども
公司[社] しゃ
人(～的人)[者] もの
敝公司[弊社] へいしゃ
新车[新車] しんしゃ
瑕疵/创伤[傷] きず
指教(指导)[指導] しどう
找的零钱 おつり
会客室[応接室] おうせつしつ
通知(请帖)[案内状] あんないじょう
入学指南[入学案内] にゅうがくあんない
(自谦)去/来/问/拜访/请教(动1)[伺う] うかがう
(自谦)做(干)(动1) いたす
(自谦)来(去)(动1)[参る] まいる
(自谦)吃(喝)得到(动1) いただく
在(动1) おる
在(有)(是) ござる
(自谦)给(动2)[差し上げる] さしあげる
(自谦)知道(动2)[存じる] ぞんじる
推进(使前进)(动2)[進める] すすめる
(自谦)看(动3)[拝見する] はいけんする
知道(动3)[承知する] しょうちする
希望(期待)(动3)[期待する] きたいする
帮助(照顾)(动3)[世話する] せわする
贵重[きちょう] きちょう
稍稍(一点儿)[少々] しょうしょう
这会儿(方才)马上(立刻)[ただ今] ただいま
突然[突然] とつぜん
其实(实际上)[実は] じつは
料理学校[料理スクール] りょうりスクール
招待不周[何のお構いもしませんで] なんのおかまいもしませんで
非常抱歉[申し訳ございません] もうしわけございません
承蒙多方照顾[いつもお世話になっております] いつもおせわになっております
