房间，屋子[部屋] へや
院子[庭] にわ
家[家] いえ
起居室[居間] いま
冰箱[冷蔵庫] れいぞうこ
墙壁[壁] かべ
开关 スイッチ
书架[本棚] ほんだな
床 ベッド
猫[猫] ねこ
狗[犬] いぬ
盒子，箱子[箱] はこ
眼镜[眼鏡] めがね
录像机 ビデオ
足球 サッカーボール
啤酒 ビール
威士忌 ウイスキー
孩子，小孩[子供] こども
兄弟姐妹[兄弟] きょうだい
父母，双亲[両親] りょうしん
妹妹[妹] いもうと
男[男] おとこ
女[女] おんな
学生[生徒] せいと
上面[上] うえ
下面[下] した
前面[前] まえ
后面[後ろ] うしろ
里面[中] なか
外面[外] そと
附近[近く] ちかく
地方，场所[場所] ばしょ
教室[教室] きょうしつ
会议室[会議室] かいぎしつ
图书室[図書室] としょしつ
公园[公園] こうえん
花店[花屋] はなや
小卖部[売店] ばいてん
车站[駅] えき
地铁[地下鉄] ちかてつ
树[木] き
单身生活[一人暮らし] ひとりぐらし
有，在（非意志者[动1]）あります
有，在（意志者[动2]）います
横滨[横浜] よこはま
大阪[大阪] おおさか
名古屋[名古屋] なごや
