现在[今] いま
上个星期[先週] せんしゅう
下个星期[来週] らいしゅう
下下个星期[再来週] さらいしゅう
这个星期[今週] こんしゅう
昨天[昨日] きのう
明天[明日] あした
后天[明後日] あさって
前天[一昨日] おととい
每天[毎日] まいにち
每天早上[毎朝] まいあさ
每天晚上[毎晩] まいばん
每个星期[毎週] まいしゅう
上午[午前] ごぜん
下午[午後] ごご
星期天[日曜日] にちようび
星期一[月曜日] げつようび 
星期二[火曜日] かようび
星期三[水曜日] すいようび
星期四[木曜日] もくようび
星期五[金曜日] きんようび
星期六[土曜日] どようび
今天早上[今朝] けさ
今天晚上[今晩] こんばん
明年[来年] らいねん
去年[去年] きょねん
晚上[夜] よる
晚上[晩] ばん
早晨[朝] あさ
休息（名词）[休み] やすみ
学校[学校] がっこう
考试[試験] しけん
工作[仕事] しごと
迟到[遅刻] ちこく
出差[出張] しゅっちょう
进修[研修] けんしゅう
旅游[旅行] りょこう
展览会[展覧会] てんらんかい
欢迎会[歓迎会] かんげいかい
联欢会 パーティー
府上，您家，宅男[お宅] おたく
什么时候 いつ
休息[休む] やすむ
工作[働く] はたらく
开始[始まる] はじまる
结束[終わる] おわる
起床[起きる] おきる
睡觉[寝る] ねる
学习[勉強する] べんきょうする
经常 いつも
北京分社[北京支社] ぺきんししゃ
神户[神戸] こうべ
早 おはよう
