下个月[来月] らいげつ
上个月[先月] せんげつ
午夜，半夜[夜中] よなか
昨天晚上[昨夜] ゆうべ
音乐会 コンサート
圣诞节 クリスマス
生日[誕生日] たんじょうび
儿童节[こどもの日] こどものひ
暑假[夏休み] なつやすみ
交通工具[交通機関] こうつうきかん 
新干线[新幹線] しんかんせん
飞机[飛行機] ひこうき
渡轮 フェリー
电车[電車] でんしゃ
公共汽车 バス
出租车 タクシー
美术馆[美術館] びじゅつかん
公寓 アパート
家(我的家) うち
游泳池 プール
朋友[友達] ともだち
弟弟[弟] おとうと
去[行く] いく
回来[帰る] かえる
来[来る] くる
好像是，大概 たしか
笔直 まっすぐ
一起[一緒に] いっしょに
佐藤[佐藤] さとう
北京[北京] ぺきん
美国 アメリカ
韩国[韓国] かんこく
法国 フランス
广岛[広島] ひろしま
京都[京都] きょうと
北海道[北海道] ほっかいどう
箱根[箱根] はこね
银座[銀座] ぎんざ
涩谷[渋谷] しぶや
新宿[新宿] しんじゅく
够累的，辛苦了[お疲れさまでした] おつかれさまでした
我先走了，我先告辞了[お先に失礼します] おさきにしつれいします
步行[歩いて] あるいて
真不容易[大変ですね] たいへんですね
