咖啡 コーヒー
可乐 コーラー
茶[お茶] おちゃ
葡萄酒 ワイン
面包 パン
蛋糕 ケーキ
粥[お粥] おかゆ
午饭[昼ごはん] ひるごはん
盒饭[お弁当] おべんとう
荞麦面[蕎麦] そば
面条[乌冬] うどん
鸡肉鸡蛋盖饭[親子丼] おやこどん
咖喱 カレー
鸡蛋[卵] たまご
干酪 チーズ
苹果 リンゴ
草莓 イチゴ
荞麦面馆[そば屋] そばや
网球 テニス
慢跑 ジョギング
足球(短的) サッカー
棒球[野球] やきゅう
申请书[申込書] もうしこみしょ
信[手紙] てがみ
音乐[音楽] おんがく
电影[映画] えいが
动物园[動物園] どうぶつえん
熊猫 パンダ
喝[飲む] のむ
买[買う] かう
拍照[撮る] とる
写[書く] かく
读[読む] よむ
听[聞く] きく
吃[食べる] たべる
看[見る] みる
做，干 する
打扫[掃除する] そうじする
从现在起 これから
那么1 じゃあ
那么2 では
欢迎光临 いらっしゃいませ
告辞了[失礼します] しつれいします
打搅了[失礼しました] しつれいしました
我走了(非常礼貌) いってまいります
我走了(普通礼貌) いってきます
你走好 いってらっしゃい
我回来了 ただいま
你回来了 おかえりなさい
我知道了(店员说的) かしこまりました
打扰了[お邪魔します] おじゃまします
给我 ください
上午[午前中] ごぜんちゅう
