礼物 プレゼント
票 チケット
小册子 パンフレット
纪念品[記念品] きねんひん
日程表 スケジュールひょう
影集[写真集] しゃしんしゅう
花[花] はな
钱，金钱[お金] おかね
圆珠笔 ボールペン
作业[宿題] しゅくだい
航空邮件[航空便] こうくうびん
速递，快件[速達] そくたつ
传真 ファックス
邮件 メール
电话号码[電話番号] でんわばんごう
住址[住所] じゅうしょ
姓名[名前] なまえ
事件，事情[件] けん
报纸[新聞紙] しんぶんし
纸折的飞机[紙飛行機] かみひこうき
巧克力 チョコレート
冰激凌 アイスクリーム
面粉[小麦粉] こむぎこ
筷子[箸] はし
勺子 スプーン
哥哥[お兄さん] おにいさん
韩语[韓国語] かんこくご
傍晚[夕方] ゆうがた
午休[昼休み] ひるやすみ
拿到，得到 もらう
见[会う] あう
寄[送る] おくる
做，制造[作る] つくる
胖[太る] ふとる
寄(信)[出す] だす
收到，送到，寄到[届く] とどく
画 かく
借出，借给[貸す] かす
学习[習う] ならう
给 あげる
打(电话) かける
(向别人)借[借りる] かりる
教[教える] おしえる
已经 もう
刚才 さっき
刚刚[たった今] たったいま
再一次[もう一度] もういちど
以前[前に] まえに
陈[陳] ちん
怎样，如何 どうですか
拜托了 おねがいします
明白了 わかりました
太好了 よかったです
