饭菜[料理] りょうり
四川菜[四川料理] しせんりょうり
汤 スープ
北京烤鸭 北京ダック
食物[食べ物] たべもの
日式牛肉火锅[すき焼き] すきやき
温泉[温泉] おんせん
热水[お湯] おゆ
凉水[水] みず
浴衣，夏季和服[浴衣] ゆかた
景色[眺め] ながめ 
药[薬] くすり
天气[天気] てんき
海[海] うみ
山[山] やま
纸[紙] かみ
新闻 ニュース
女性[女性] じょせい
来宾[お客様] おきゃくさま
玻璃杯 グラス
歌舞伎[歌舞伎] かぶき
心情[気持ち] きもち
很多(名词) たくさん
辣[辛い] からい
甜[甘い] あまい
咸[塩辛い] しおからい
酸[酸っぱい] すっぱい
苦[苦い] にがい
好吃[美味しい] おいしい
难吃 まずい
热，烫[熱い] あつい
凉[冷たい] つめたい
愉快[楽しい] たのしい
有趣[面白い] おもしろい
无聊 つまらない
广阔[広い] ひろい
狭窄[狭い] せまい
大[大きい] おおきい
小[小さい] ちいさい
忙[忙しい] いそがしい
好(形容词1) いい
不好[悪い] わるい
极好[素晴らしい] すばらしい
远[遠い] とおい
近[近い] ちかい
高，贵[高い] たかい
低[低い] ひくい
便宜[安い] やすい
寒冷[寒い] さむい
(天气)热[暑い] あつい
蓝色的[青い] あおい
白色的[白い] しろい
新[新しい] あたらしい
旧[古い] ふるい
难[難しい] むずかしい
容易[易しい] やさしい
多[多い] おおい
少[少ない] すくない
可爱[可愛い] かわいい
真的[本当に] ほんとうに
不(太)-- あまり
很，非常1(表达程度或强调的副词) とても
很，非常2(表达程度或强调的副词) たいへん
一点1[少し] すこし
一点2 ちょっと
根本[全然] ぜんぜん
正好 ちょうど
哎呀(女用) あら
哎呀(男用) あれ
啊 ああ
天安门[天安門] てんあんもん
万里长城[万里の長城] ばんりのちょうじょう
感觉舒服[気持ちがいい] きもちがいい
