上衣[上着] うわぎ
音色[音色] ねいろ
色拉/凉拌菜 サラダ
显眼/显著/引人注目(动1)[目立つ] めだつ
札幌[札幌] さっぽろ
单程[片道] かたみち
光/光亮/光线[光] ひかり
发信号/递暗号[合図する] あいずする
算数[算数] さんすう
解/解答/解明[解く] とく
表示/指示/表明[表示] ひょうじ
罗马字 ローマ字
满足/满意[満足] まんぞく
预防(动3)[予防する] よぼうする
重整/重建(动1)[立て直す] たてなおす
维持/保持(动3)[維持する] いじする
体重[体重] たいじゅう
文件/档案/卷宗 ファイル
日期/年月日[日付] ひづけ
肌肤[肌] はだ
地区[地区] ちく
相当/很/颇[相当] そうとう
公司内[社内] しゃない
天才[天才] てんさい
～先生/～女士/～夫人[～氏] し
下降/降低(动3)[低下する] ていかする
早晚/反正 いずれ
前列/排前面/上位/上座[上位] じょうい
疏忽/麻痹[油断] ゆだん
化妆品[化粧品] けしょうひん
国际象棋 チェス
日本象棋[将棋] しょうぎ
围棋[碁] ご
俳句/俳诗[俳句] はいく
卖完/售罄(动2)[売り切れる] うりきれる
辞职(动3)[退職する] たいしょくする
流行歌曲[歌謡曲] かようきょく
交流[交流] こうりゅう
幼儿/婴儿[幼児] ようじ
