科学家[科学者] かがくしゃ
行为/行动[行動] こうどう
玩笑/戏言/笑话[冗談] じょうだん
发/分发/散发(动3)[配布する] はいふする
生存(动3)[生存する] せいぞんする
海水[海水] かいすい
矿物质 ミネラル
贫穷/穷苦(形1)[貧しい] まずしい
土地[土地] とち
休闲用品/娱乐用品[～用品] レジャーようひん
活力/生气/朝气[活気] かっき
伊豆[伊豆] いず
赛马[競馬] けいば
名作/杰作[名作] めいさく
村上春树[村上春樹] むらかみはるき
冷气设备/冷气空调[冷房] れいぼう
入场/进场[入場] にゅうじょう
拒绝/谢绝/预先通知(动1)[断る] ことわる
酷暑/炎热[猛暑] もうしょ
不足/不够/短缺(动3)[不足する] ふそくする
有点～/觉得～[～気味] ぎみ
国籍[国籍] こくせき
教育[教育] きょういく
教材[教材] きょうざい
高中[高等学校] こうとうがっこう
进入/打入/挤进[進出] しんしゅつ
加强/强化[強化] きょうか
题目/课题[課題] かだい
我国[我が国] わがくに
页/页码 ページ
登记/注册(动3)[登録する] とうろくする
污染[汚染] おせん
渔业/水产业[漁業] ぎょぎょう
支付/付款(动1)[支払う] しはらう
取消/作废/撤消(动1)[取り消す] とりけす
约会/碰头(动2)[待ち合わせる] まちあわせる
～以内[～以内] いない
商品开发[商品開発] しょうひんかいはつ
