带口信(动3)[伝言する] でんごんする
出版社[出版社] しゅっぱんしゃ
出版(动3)[出版する] しゅっぱんする
善后/整理/收拾[後片づけ] あとかたづけ
电视台[～局] テレビきょく
提意见/出主意[相談に乗る] そうだんにのる
肥胖[肥満] ひまん
件数[件数] けんすう
退学[退学] たいがく
高潮/热潮 ブーム
权利[権利] けんり
废气/废烟气[排気～] はいきガス
上下班高峰时间 ラッシュアワー
混乱/拥挤/混杂[混雑] こんざつ
宠物 ペット
爱/爱情[愛情] あいじょう
政治[政治] せいじ
感觉[感覚] かんかく
日中/日本和中国[日中] にっちゅう
外交[外交] がいこう
一晚/一夜/一宿[一晩] ひとばん
结构/计划/方法[仕組み] しくみ
秘鲁海上[～沖] ペルーおき
海面[海面] かいめん
异常(形2)[異常] いじょう
敲门/敲打 ノック
躲藏/隐藏(动2)[隠れる] かくれる
身高/身长[身長] しんちょう
条件/提前[条件] じょうけん
资格/身份[資格] しかく
有利(形2)[有利] ゆうり
重视(动3)[重視する] じゅうしする
仅/只 ただ
面试考试[面接試験] めんせつしけん
宝贵/可贵/价值 ありがたさ
不满～/不足～[～未満] みまん
本店/我店[当店] とうてん
羊肉[羊肉] ひつじにく
恐怖片/惊悚片 ホラー
