(围绕诸侯居住地发展起来的)城市[城下町] じょうかまち
城/城堡[城] しろ
四方[四方] しほう
盐分[塩分] えんぶん
食谱/菜谱[献立] こんだて
花坛[花壇] かだん 
粉红色/桃红色 ピンク
紫/紫色[紫] むらさき
捐助/捐赠(动3)[寄付する] きふする
幸运/荣幸/幸好(形2)[幸い] さいわい
渐渐/逐步[徐々に] じょじょに
比赛会/竞赛会 コンクール
获奖/得奖(动3)[入賞する] にゅうしょうする
便桶/便盆/便壶/马桶[便器] べんき
柳树[柳] やなぎ
沿/顺(动1)[沿う] そう
抗议[抗議] こうぎ
沿～[～沿い] ぞい
清楚/明确 はっきり
再选/重选(动3)[再選する] さいせんする
果酒[果実酒] かじつしゅ
南瓜 カボチャ
酸奶/乳酸饮料 ヨーグルト
午餐/便餐 ランチ
集合/汇合/汇集[集まり] あつまり
记载/记录/(成绩)记录[記録] きろく
登载/刊登(动3)[掲載する] けいさいする
学说/说法/论点/主张/意见[説] せつ
系统/体系/组织/机构 システム
无人驾驶/自动驾驶[自動運転] じどううんてん
越过/翻过(动2)[超える] こえる
做记录/做笔记(动3) メモする 
工程/工事[工事] こうじ
驾驶证/驾驶执照[運転免許] うんてんめんきょ
焰火/烟花[花火] はなび
一瞬/一刹那[一瞬] いっしゅん
