借款[借金] しゃっきん
醉酒(动1)[酔っ払う] よっぱらう
腹部/肚子[腹] はら
上班(动3)[出社する] しゅっしゃする
山中[山中] やまなか
橱/柜[戸棚] とだな
新人/新手[新人] しんじん
线路/路线[線路] せんろ
登山/爬山[登山] とざん
定期休息日/例行休假日[定休日] ていきゅうび
生气/发火[腹を立てる] はらをたてる
爱用/喜欢用(动3)[愛用する] あいようする
精神方面[精神面] せいしんめん
柔弱/脆弱[弱さ] よわさ
赚钱/获利/挣钱[金儲け] かねもうけ
经营者[経営者] けいえいしゃ
增强体力[体力作り] たいりょくづくり
边走边吃[食べ歩き] たべあるき
防止[防止] ぼうし
胃[胃] い
农药[農薬] のうやく
腌菜/咸菜[漬物] つけもの
倍增(动3)[倍増する] ばいぞうする
农民/农家[農家] のうか
认真/正经/严肃(形2)[真剣] しんけん
混乱/杂乱/拥挤(动3)[混雑する] こんざつする
削减/减少[削減] さくげん 
大人物[大物] おおもの
丑闻/丑事 スキャンダル
信用/诚信[信用] しんよう
存续/长存/永存[存続] そんぞく
知识[知識] ちしき
技术[技術] ぎじゅつ
向上/提高/进步[向上] こうじょう
生命[生命] せいめい
试乘[試乗] しじょう
肉末/肉馅[ひき肉] ひきにく
红葡萄酒[赤～] 赤ワイン
