香槟酒 シャンパン
扑克牌 トランプ
茶匙[茶さじ] ちゃさじ
钥匙圈 キーホルダー
发酵(动3)[発酵する] はっこうする
葡萄干[干～] ほしブドウ
晾干/晒干/干燥(动3)[乾燥する] かんそうする
温室[温室] おんしつ
饭菜/好吃的饭菜 ごちそう
厨师/炊事员[料理人] りょうりにん
学会[学会] がっかい
洗盘子/洗碟子[皿洗い] さらあらい
赔/赔偿(动3)[弁償する] べんしょうする
帘子/竹帘 すだれ
文明[文明] ぶんめい
忍耐(动3)[我慢する] がまんする
通用/兼用(动3)[通用する] つうようする
电子辞典[電子辞書] でんしじしょ
厨房[台所] だいどころ
沙发 ソファー
内衣/衬衣[下着] したぎ
美术品[美術品] びじゅつひん
厨师 コック
懂规矩/有规矩(形2)[規則正しい] きそくただしい
秘诀[秘訣] ひけつ
人类[人類] じんるい
奉献/贡献(动3)[捧げる] ささげる
指出(动3)[指摘する] してきする
印刷[印刷] いんさつ
经营管理/经理[経理] けいり
总务[総務] そうむ
山口[山口] やまぐち
齐藤[斉藤] さいとう
回公司[帰社] きしゃ
