费用/估计/估价[見積もり] みつもり
成田[成田] なりた
连日[連日] れんじつ
数码音响 デジタルオーディオ
狼狈/糟糕/糟透(形2) さんざん
强风[強風] きょうふう
宠物食品 ペットフード
卫生状态[衛生状態] えいせいじょうたい
伙食费[食費] しょくひ
佛像[仏像] ぶつぞう
称/测量(动1)[量る] はかる
执行/实践(动3)[実行する] じっこうする
灾害[災害] さいがい
食品/食物[食料] しょくりょう
补充[補充] ほじゅう
本人[本人] ほんにん
检查[検査] けんさ
佛教[仏教] ぶっきょう
中间/一半[半ば] なかば
港口[港] みなと
贸易[貿易] ぼうえき
金阁寺[金閣寺] きんかくじ
室町时代[室町] むろまち
移居[移住する] いじゅうする
清水寺[清水寺] きよみずでら
巡游[巡る] めぐる
定期[定期] ていき
天坛公园[天壇公園] てんだんこうえん
来日本(动3)[来日する] らいにちする
豪华客船[豪華客船] ごうかきゃくせん
诞生(动3)[誕生する] たんじょうする
巨大(形2)[巨大] きょだい
海啸[津波] つなみ
太平洋[太平洋] たいへいよう
漂流[漂流する] ひょうりゅうする
初期[初期] しょき
推进(动2)[推し進める] おしすすめる
