适合/适切(动3)[適する] てきする
生涯[生涯] しょうがい
信赖关系[信頼関係] しんらいかんけい
古都[古都] こと
友好[友好] ゆうこう
领导能力/统率力 リーダシップ
探险旅游/探秘旅行 ミステリーツアー
游览/观光[見物] けんぶつ
挤满/填满(动1)[埋め尽くす] うめつくす
结论[結論] けつろん
山顶[山頂] さんちょう
探求心[探求心] たんきゅうしん
电影导演[映画監督] えいがかんとく
天堂/天国[天国] てんごく
地狱[地獄] じごく
横过/横穿过(动1)[横切る] よこぎる
流星[流れ星] ながれぼし
签证/入境许可证 ビザ
成立(动1)[成り立つ] なりたつ
效率[能率] のうりつ
重新建设(动3)[再建する] さいけんする
对岸[向こう岸] むこうぎし
距离[距離] きょり
测量/测算(动1)[測る] はかる
伤害/弄伤(动2)[傷つける] きずつける
确实/准确(形2)[確実] かくじつ
做梦/梦见[夢を見る] ゆめをみる
贺年卡[年賀状] ねんがじょう
意外地[意外と] いがいと
实力[実力] じつりょく
样品/样本[見本] みほん
倒/翻倒(动1) ひっくりかえる
不认真/马马虎虎(形2) おろそか
对号票/对号入座票[指定券] していけん
正午[正午] しょうご
花甲/满六十岁[還暦] かんれき
各位/诸位[方々] かたがた
编辑部[編集部] へんしゅうぶ
迎送/接送[送り迎え] おくりむかえ
筹备/安排/布置[手配] てはい
缺勤[欠勤] けっきん
干劲儿 やるき
练习/训练/锻炼(动3) トレーニングする
干燥机[乾燥機] かんそうき
洗涤剂[洗剤] せんざい
缓和[緩和] かんわ
近代[近世] きんせい
种子[種] たね
盆/钵[鉢] はち
乘客[乗客] じょうきゃく
删除(动3)[削除する] さくじょする
语言学[語学] ごがく
过去[過去] かこ
例/例子[例] れい
处分/处理[処分] しょぶん
束缚(动1)[縛る] しばる
实情[実情] じつじょう
缩小(动3)[縮小する] しゅくしょうする
立场[立場] たちば
马马虎虎/不正经/恰当(形2) いいかげん
保安/防犯/安全 セキュリティ
月饼[月餅] げっぺい
尖锐/锋利(形1)[鋭い] するどい
城市中心[都心] としん
转弯/弯曲/(棒球)曲线球 カーブ
舒服/舒适/愉快(形2)[快適] かいてき
音声/声音[音声] おんせい
认识(动3)[認識する] にんしきする
满满的/紧紧的 ぎっしり
梗概/概要 あらすじ
史实[史実] しじつ
构成/结构[構成] こうせい
配合/搭配/组合[組み合わせ] くみあわせ
读者[読者] どくしゃ
设定[設定] せってい
巢/巢穴[巣] す
资金[資金] しきん
许可/允许[許可] きょか
接受/理解[納得] なっとく
进步/长进[上達] じょうたつ
复兴/重建[復興] ふっこう
捉住/逮住/抓住(动2)[捕まえる] つかまえる
校舍[校舎] こうしゃ
明春/明年春天[来春] らいしゅん
原动力[原動力] げんどうりょく
红[紅] こう
