消极/负面(形2)[消極的] しょうきょくてき
积极/正面(形2)[積極的] せっきょくてき
抽象(形2)[抽象的] ちゅうしょうてき
亚洲 アジア
带(子)/细绳 ひも
回忆/往事[思い出] おもいで
化石[化石] かせき
现代/现今/当代[現代] げんだい
事件/案件[事件] じけん
有钱人/富人[金持ち] かねもち
进步[進歩] しんぽ
感激/感动[感激] かんげき
近代/现代[近代] きんだい
电子[電子] でんし
高龄/老龄[高齢] こうれい
数码/数字 デジタル
修建/建设(动3)[建設する] けんせつする
上/登/进京(动1)[上る] のぼる
下/下去/到地方去(动1)[下る] くだる
禁止通行[通行止め] つうこうどめ
像这样的 このような
这些 これら
秘密[秘密] ひみつ
世界贸易组织[世界貿易機関] せかいぼうえききかん
铁轨/钢轨/轨道 レール
调拌/调开/溶解(动1)[溶く] とく
杰作[傑作] けっさく
优秀/卓越(动2)[優れる] すぐれる
运河[運河] うんが
杭州[杭州] こうしゅう
流/流动/流淌(动2)[流れる] ながれる
业余时间的娱乐/余暇/空闲 レジャー
传统[伝統] でんとう
演艺/文艺/曲艺[芸能] げいのう
