干燥机[乾燥機] かんそうき
洗涤剂[洗剤] せんざい
缓和[緩和] かんわ
近代[近世] きんせい
种子[種] たね
盆/钵[鉢] はち
乘客[乗客] じょうきゃく
删除(动3)[削除する] さくじょする
语言学[語学] ごがく
过去[過去] かこ
例/例子[例] れい
处分/处理[処分] しょぶん
束缚(动1)[縛る] しばる
实情[実情] じつじょう
缩小(动3)[縮小する] しゅくしょうする
立场[立場] たちば
马马虎虎/不正经/恰当(形2) いいかげん
保安/防犯/安全 セキュリティ
月饼[月餅] げっぺい
尖锐/锋利(形1)[鋭い] するどい
城市中心[都心] としん
转弯/弯曲/(棒球)曲线球 カーブ
舒服/舒适/愉快(形2)[快適] かいてき
音声/声音[音声] おんせい
认识(动3)[認識する] にんしきする
满满的/紧紧的 ぎっしり
梗概/概要 あらすじ
史实[史実] しじつ
构成/结构[構成] こうせい
配合/搭配/组合[組み合わせ] くみあわせ
读者[読者] どくしゃ
设定[設定] せってい
巢/巢穴[巣] す
资金[資金] しきん
许可/允许[許可] きょか
接受/理解[納得] なっとく
进步/长进[上達] じょうたつ
复兴/重建[復興] ふっこう
捉住/逮住/抓住(动2)[捕まえる] つかまえる
校舍[校舎] こうしゃ
明春/明年春天[来春] らいしゅん
原动力[原動力] げんどうりょく
红[紅] こう
