自由职业者/无固定工作的人 フリーター
交货/缴纳物品(动3)[納品する] のうひんする
后半/后半部分[後半] こうはん
运动能力/体能[運動能力] うんどうのうりょく
体力[体力] たいりょく
无车日 ノーマイカーデー
台数[台数] だいすう
慌张/心神不定/坐立不安 そわそわ
坦白/自白/告白(动3)[告白する] こくはくする
意见/异议/牢骚/词句/话语[文句] もんく
夏服/夏季用品[夏物] なつもの
人事变动/人员调动[人事異動] じんじいどう
担心/惦念/挂念(形2)[気がかり] きがかり
否决(动3)[否決する] ひけつする
自尊心/自豪感 プライド
受伤/负伤/受损/受创(动1)[傷つく] きずつく
国境/边境[国境] こっきょう
附近[付近] ふきん
开馆(动3)[開館する] かいかんする
三浦[三浦] みうら
米田[米田] よねだ
历史小说[歴史小説] れきししょうせつ
中岛[中島] なかじま
议员[議員] ぎいん
和平运动[平和活動] へいわかつどう
关闭/封闭(动3)[閉鎖する] へいさする
光顾/眷顾/惠顾[愛顧] あいこ
打折/折扣/减价[割引] わりびき
国营邮政公司[郵政公社] ゆうせいこうしゃ
建筑物[建造物] けんぞうぶつ
搬迁/搬走/离开/撤退[立ち退き] たちのき
吃力的/费劲的 きつい
疲劳 くたびれる
到期/结束[明ける] あける
幽默 ユーモア
完全/全部(副) そっくり
研讨会 ゼミナール
形容干/干燥 からから
饥饿/低三下四 ぺこぺこ
恐怖的 おそろしい
