预算[予算] よさん
功效/效果[効果] こうか
竞争[競争] きょうそう
正式/原则/正规[本格] ほんかく
文具[文房具] ぶんぼうぐ
胡椒 コショウ
佐料/调味品[調味料] ちょうみりょう
环境保护/环保[環境保護] かんきょうほご
注目/注视(动3)[注目する] ちゅうもくする
活动[活動] かつどう
通讯手段[通信手段] つうしんしゅだん
科目[科目] かもく
前些天/最近[この間] このあいだ
很好/优秀/足够/不必(形2)[結構] けっこう
寒冷[寒さ] さむさ
结冰/结冻(动1)[凍る] こおる
竟能/居然/好好地/常常 よく
和平(形2)[平和] へいわ
休假/放假[休暇] きゅうか
签名/签字/署名/暗号/信号 サイン
戒指/指环[指輪] ゆびわ
年轻人[若者] わかもの
顺利/良好(形2)[順調] じゅんちょう
年轻[若さ] わかさ
怀念/留恋(形1)[懐かしい] なつかしい
讨厌/厌烦(形2)[嫌] いや
爱[愛] あい
珍贵/难得/值得感谢(形1) ありがたい
橡胶 ゴム
制造/生产[製造] せいぞう
加工[加工] かこう
单手/一只手[片手] かたて
营养[栄養] えいよう
确认/核实(动3)[確認する] かくにんする
年龄[年齢] ねんれい
相隔/距离/分离/离开(动2)[離れる] はなれる
老年人/老人[年寄り] としより
