让/让给/转让(动1)[譲る] ゆずる
达/及(动1)[及ぶ] およぶ
办法/方案/预想/意料[案] あん
惊愕/愕然/目瞪口呆(动2) あきれる
那样/那种 あんな
可怜(形2) かわいそう
打扰邻里[近所迷惑] きんじょめいわく
成员/队员 メンバー
情感/感情/想法[思い] おもい
诚心/真心/诚意[真心] まごころ
饱含/包括/包含/集中(动2) こめる
(时间)过/流逝/消逝(动1)[経つ] たつ
婴儿[赤ん坊] あかんぼう
～迷/崇拜者 ファン
市民[市民] しみん
转换心情[気分転換] きぶんてんかん
所有/一切 あらゆる
表现出/表示/出示(动1)[示す] しめす
笑脸[笑顔] えがお
事实[事実] じじつ
浪费/滥用[無駄使い] むだづかい
食盐[食塩] しょくえん
紫外线[紫外線] しがいせん
很少/一点点/仅仅(形2) わずか
任性/恣意(形2) わがまま
交往/来往(动1)[付き合う] つきあう
懒悄/懈怠(动2)[怠ける] なまける
初 はじめ
技术开发[技術開発] ぎじゅつかいはつ
响子[響子] きょうこ
小川[小川] おがわ
明[明] あきら
天津[天津] てんしん
品质管理[品質管理] ひんしつかんり
建 けん
燕 えん
燕 ツバメ
