北[北] ほく
云[雲] くも
南北[南北] なんぼく
韩[韓] かん
数字[数字] すうじ
力/力气/力量[力] ちから
护士[看護師] かんごし
记者[記者] きしゃ
翻译/口译[通訳] つうやく
所长[所長] しょちょう
马[馬] うま
现代美术[現代美術] げんだいびじゅつ
粗略地/一下子/很快/(流水声)哗啦 ざっと
入场者/进入~的人[入場者] にゅうじょうしゃ
零下[零下] れいか
外语[外国語] がいこくご
石油[石油] せきゆ
沙特阿拉伯 サウジアラビア
发展/扩展(动3)[発展する] はってんする
环境破坏[環境破壊] かんきょうはかい
严肃/严重/深刻(形2)[深刻] しんこく
试/尝试/试验(动1)[試す] ためす
祖父/外祖父[祖父] そふ
探望/慰问/问候[見舞い] みまい
亲密/友好[仲良く] なかよく
汽油 ガソリン
公安局/警察[警察] けいさつ
交通规则/交通规章[交通規則] こうつうきそく
工薪族/工薪职员 サラリーマン
北极[北極] ほっきょく
冰[氷] こおり
融化/消融/溶化/熔化(动2)[溶ける] とける
吸烟[喫煙] きつえん
中学生[中学生] ちゅうがくせい
学习(动3)[学習する] がくしゅうする
激烈/剧烈/厉害(形1)[激しい] はげしい
样品/样板/标本 サンプル
做好/完成(动1)[でき上がる] できあがる
订货/订购/点菜[注文] ちゅうもん
