懊恼/懊悔/遗憾(形1)[悔しい] くやしい
契约/合同[契約] けいやく
新员工培训[新人研修] しんじんけんしゅう
脸色/表情[顔色] かおいろ
有代表性的(形2)[代表的] だいひょうてき
职业[職業] しょくぎょう
播音员/广播员 アナウンサー
作曲家[作曲家] さっきょくか
日式房间[和室] わしつ
住宅[住宅] じゅうたく
半年[半年] はんとし
脑/大脑[脳] のう
作用/功能/工作[働き] はたらき
弄清楚/讲清楚/阐明(动3)[解明する] かいめいする
市场情况/商业状况/景气[景気] けいき
恢复/康复(动3)[回復する] かいふくする
接近/迫近/临近(动1)[迫る] せまる
演员[俳優] はいゆう
再利用/循环使用 リサイクル
意识[意識] いしき
长期[長期] ちょうき
国内旅行[国内旅行] こくないりょこう
电器[電気製品] でんきせいひん
增加/扩大(动2)[伸びる] のびる
决心[決心] けっしん
钢琴家 ピアニスト
体型/身材 スタイル
夜景[夜景] やけい
暴力[暴力] ぼうりょく
人手[人手] ひとで
审判/裁判[裁判] さいばん
实际[実際] じっさい
感动(动3)[感動する] かんどうする
大显身手/活跃(动3)[活躍する] かつやくする
专家[専門家] せんもんか
语言/言语[言語] げんご
专攻/专修(动3)[専攻する] せんこうする
派出所/交替[交番] こうばん
工作/上班(动3)[勤務する] きんむする
巡警/警察[お巡りさん] おまわりさん
桌布/台布 テーブルクロス
包袱布/包裹布[風呂敷] ふろしき
