种子/果实/内容[実] み
弄响/扬起/立/竖(动2)[立てる] たてる
促销/销售促进[販売促進] はんばいそくしん
发表/发布/宣布/揭晓[発表] はっぴょう
集合[集合] しゅうごう
检票口[改札口] かいさつぐち
工作岗位/职守[部署] ぶしょ
老手/行家/里手 ベテラン
研修中心[研修～] けんしゅうセンター
地理[地理] ちり
光号(新干线列车名) ひかり
主题/题目/中心思想 テーマ
基础/基本[基本] きほん
开始 スタート
停止 ストップ
动词[動詞] どうし
常识/常情[常識] じょうしき
彻底/痛快/决心/决意[思い切り] おもいきり
挑战(动3)[挑戦する] ちょうせんする
临近/接近/靠近(动1)[近づく] ちかづく
姑且/暂且/先[一応] いちおう
产地[生産地] せいさんち
紧急电话[非常電話] ひじょうでんわ
设置/安装/设立(动3)[設置する] せっちする
点/点数/要点 ポイント
积攒/积存 たまる
指挥/指挥者[指揮者] しきしゃ
演奏(动3)[演奏する] えんそうする
介意/关心/留心[気にする] きにする
高中生[高校生] こうこうせい
对象[対象] たいしょう
问卷调查/征询意见 アンケート
职工食堂[社員食堂] しゃいんしょくどう
健身房/体育馆 スポーツジム
人事[人事] じんじ
去向/前进道路/升学道路[進路] しんろ
谈/谈话/商量/讨论(动1)[話し合う] はなしあう
心脏[心臓] しんぞう
干劲十足/紧张/绷紧(动1)[張り切る] はりきる
招待(动3)[招待する] しょうたいする
