开/召开/举办(动3)[開催する] かいさいする
听课的人/听讲的人[受講生] じゅこうせい
家庭主妇/主妇[主婦] しゅふ
单身[独身] どくしん
讲座[講座] こうざ
溶解/溶化(动1)[溶かす] とかす
快门 シャッター
拍照/描写/抄写(动1)[写す] うつす
家教/家庭教师[家庭教師] かていきょうし
能量/能源/精力 エネルギー
多年/长年累月[長年] ながねん
努力[努力] どりょく
检查[点検] てんけん
火箭 ロケット
发射(动3)[発射する] はっしゃする
沉默/安静[沈黙] ちんもく
零食/点心/茶点 おやつ
不平衡/偏颇/偏袒(动1)[偏る] かたよる
搭话/打招呼(动2)[話しかける] はなしかける
月末/月底[月末] げつまつ
上上个月[先々月] せんせんげつ
上上个星期[先々週] せんせんしゅう
预约/提出/申请(动1)[申し込む] もうしこむ
星野[星野] ほしの
铃/铃铛[鈴] すず
商社/贸易公司[商社] しょうしゃ
指示/吩咐[指示] しじ
集会[集会] しゅうかい
做完/完成/结束(动2)[終える] おえる
闭会/散会/闭幕(动3)[閉会する] へいかいする
邮政/邮件[郵便] ゆうびん
特快列车[特急電車] とっきゅうでんしゃ
金泽[金澤] かなざわ
朋友/友人[友人] ゆうじん
黄色[黄色い] きいろい
礼物/礼品[贈り物] おくりもの
不久/过几天 そのうち
纸袋/纸质口袋[紙袋] かみぶくろ
上衣[上着] うわぎ
音色[音色] ねいろ
色拉/凉拌菜 サラダ
显眼/显著/引人注目(动1)[目立つ] めだつ
札幌[札幌] さっぽろ
单程[片道] かたみち
光/光亮/光线[光] ひかり
发信号/递暗号[合図する] あいずする
算数[算数] さんすう
解/解答/解明[解く] とく
表示/指示/表明[表示] ひょうじ
罗马字 ローマ字
满足/满意[満足] まんぞく
预防(动3)[予防する] よぼうする
重整/重建(动1)[立て直す] たてなおす
维持/保持(动3)[維持する] いじする
体重[体重] たいじゅう
文件/档案/卷宗 ファイル
日期/年月日[日付] ひづけ
肌肤[肌] はだ
地区[地区] ちく
相当/很/颇[相当] そうとう
公司内[社内] しゃない
天才[天才] てんさい
～先生/～女士/～夫人[～氏] し
下降/降低(动3)[低下する] ていかする
早晚/反正 いずれ
前列/排前面/上位/上座[上位] じょうい
疏忽/麻痹[油断] ゆだん
化妆品[化粧品] けしょうひん
国际象棋 チェス
日本象棋[将棋] しょうぎ
围棋[碁] ご
俳句/俳诗[俳句] はいく
卖完/售罄(动2)[売り切れる] うりきれる
辞职(动3)[退職する] たいしょくする
流行歌曲[歌謡曲] かようきょく
交流[交流] こうりゅう
幼儿/婴儿[幼児] ようじ
