业余爱好者(名) アマチュア
去向/下落/行踪[行方](名) ゆくえ
茨城[茨城](专) いばらき
栅栏[柵](名) さく
领先/引领/带领(名/サ变他) リードする
假装不知/佯装不知(动2自) しらばくれる
通用的设计(名) ユニバーサルデザイン
运行/动作[動作](名) どうさ
忧裕/宽裕/余地(名) ゆとり
充分/完全(副) いかんなく
器皿/器具[器](名) うつわ
愚见/拙见[愚考](名/サ变自他) ぐこう
条约[条約](名) じょうやく
特例[特例](名) とくれい
验算/核对[検算](名/サ变他) けんざん
罪行[罪](名) つみ
天线 アンテナ
一面/一边/旁边 かたわら
绳子/绳索/缆绳 ロープ
粗枝大叶/粗心大意/草率/大概/概略(形2) おおざっぱ
错位/错开/移动/背离/偏离(动2) ずれる
向井千秋[向井千秋] むかいちあき
扭曲/歪曲/歪斜 ゆがみ
糊状食品/糊/膏/酱 ペースト
伟大(形2)[偉大] いだい
出发/动身/离开(动1)[発つ] たつ
吊床 ハンモック
到底/毕竟/终归 あくまで
服务/奉献[奉仕](名/サ变自) ほうし
仍然/还(副) いまだ
婴儿[乳児](名) にゅうじ
源于/由来于/来自(动1自) ちなむ
厚颜无耻[心臓に毛が生える] しんぞうにけがはえる
并不那么(副) さほど
多半/大概(副) どうやら
冷淡/无情(形1) そっけない
火急/紧急[早急](名/形2) そうきゅう
经常/总是/老是(副) しょっちゅう
稀少/罕见(形2) まれ
树脂[樹脂](名) じゅし
养分[栄養分](名) えいようぶん
唾液/唾沫(名) つば
无论如何/无论怎样 いずれにしても
还算可以/还行/还好(副) まだしも
理[理](专) おさむ
生疏/疏远[疎い](形1) うとい
载货架/车箱[荷台](名) にだい
眨眼(名) まばたき
迁都[遷都](名/サ变自) せんと
湿乎乎(副) じめっと
未必/不一定(副) あながち
地区/地带[地帯](名) ちたい
(宗教)建造/兴建[建立する](名/サ变他) こんりゅうする
大佛[大仏](名) だいぶつ
而且[且つ](副) かつ
筑波市(专) つくばし
暴涨/腾贵/涨价[高騰する](名/サ变自) こうとうする
黏乎乎/湿漉漉(名) べちゃべちゃ
