饮食(食)[名] しょく
餐桌(食卓)[名] しょくたく
炸牛肉薯饼[名] コロッケ
课外社团活动(部活)[名] ぶかつ
食堂/餐室[名] ダイニング
一家/一个门户(一家)[名] いっか
鸡肉/鸡[名] チキン
藠头[名] ラッキョウ
福神腌菜(福神漬け)[名] ふくしんづけ
拿出/伸出(差し出す)[动1他] さしだす
再来一盘/份[名/サ变他] おかわり
你[名] あんた
运球[名/サ变他] ドリブル
肚子饿了(腹減った) はらへった
想到/想起(思い浮かべる)[动2他] おもいうかべる
风味/调味(味付け)[名/サ变自] あじつけ
来到/来[カ変自] やってくる
冷面(冷麵)[名] れいめん
种类/类型/流派[名] ジャンル
自身(自体)[名] じたい
明治维新(明治維新)[名] めいじいしん
炸猪排[名] とんかつ
(如今)已经[副] もはや
饮食文化(食文化)[名] しょくぶんか
蛋包饭[名] オムライス
中华冷面(冷やし中華)[名] ひやしちゅうか
炖菜(煮物)[名] にもの
凉青菜[名] おひたし
装饰/点缀/上色(彩る)[动1他] いろどる
全球的[形2] グローバル
现在/今天(今日)[名] こんにち
这么/这种程度[副] これほど
融入/混入/深入(入り込む)[动1自] はいりこむ
烹饪法[名] レシピ
分量(ぶんりょう)[名] ぶんりょう
卤(块儿)[名] ルー
洋葱头(玉～)[名] たまねぎ
胡萝ト[名] ニンジン
土豆[名] ジャガイモ
色拉油[名] サラダオイル
大勺(大さじ)[名] おおさじ
姜[名] ショウガ
少许(少々)[副] しょうしょう
摄取/吸收/吸取(摂取)[名/サ变他] せっしゅ
基准/目标(目安)[名] めやす
