充满/溢出[溢れる](动2自) あふれる
悬崖/山崖/绝壁[崖](名) がけ
身份[身分](名) みぶん
脚尖[つま先](名) つまさき
节日[祭日](名) さいじつ
连休[連休](名) れんきゅう
画面[画面](名) がめん
晚餐/大餐(名) ディナー
通常/一般/不稀奇(名·形2) ありきたり
商业广告(名) コマーシャル
具体[具体](名) ぐたい
仔细推敲/斟酌/搋和[練る](动1他) ねる
版面设计/配置计划(名) レイアウト
剁碎/雕刻[刻む](动1他) きざむ
白菜[白菜](名) はくさい
顾客[顧客](名) こきゃく
假发(名) かつら
古装剧/历史剧/时代剧[時代劇](名) じだいげき
武士[侍](名) さむらい
舞女/舞妓[舞子](名) まいこ
百科词典[事典](名) じてん
袜子[靴下](名) くつした
小商品/杂货(名) グッズ
叫来/召集来[呼び寄せる](动2他) よびよせる
安眠[安眠](名·サ变自) あんみん
使来得及/赶出来[間に合わせる](动2他) まにあわせる
时间[間](名) ま
询问[尋ねる](动2他) たずねる
约会/约定(名) アポ
委托/托付/交给[任せる](动2他) まかせる
反复/周到/仔细(副) くれぐれも
实物[現物](名) げんぶつ
搬运/移动[持ち運び](名) もちはこび
膨胀/鼓气/凸起[膨らむ](动1自) ふくらむ
特长/特点[特長](名) とくちょう
这样地(接) このように
大概/全部[一通り](副) ひととおり
具有/具备/设有[備わる](动1自) そなわる
自己个人的意见[一存](名) いちぞん
大驾光临[お越しになる] おこしになる
拿在手里[手に取る] てにとる
构思很巧妙呀/真是费尽心思了啊[考えましたね] かんがえましたね
奥斯卡金像奖(名) アカデミーしょう
那个家伙/那/那个东西(代) そいつ
同年级同学[同級生](名) どうきゅうせい
