越过/搬家[越す](动1自) こす
台上/坛上[壇上](名) だんじょう
讲师[講師](名) こうし
吉冈[吉岡](专) よしおか
降水量[降水量](名) こうすいりょう
进货/到货[入荷](名·サ変自) にゅうか
瞬间[瞬間](名) しゅんかん
分工/分头做[手分け](名) てわけ
火速/赶快[至急](副) しきゅう
远路/远道[遠路](名) えんろ
遥远/远道而来(副) はるばる
意思/大意/宗旨[旨](名) むね
内线[内線](名) ないせん
口语[話し言葉](名) はなしことば
书面语[書き言葉](名) かきことば
使用的方便程度[使い勝手](名) つかいがって
现场直播[生放送](名) なまほうそう
埼玉[埼玉](专) さいたま
浦和[浦和](专) うらわ
温柔/优美/有弹性/柔软(形2) しなやか
必须寄达/必须送到[必着](名) ひっちゃく
排球(名) バレーボール
演出/导演[演出](名·サ变他) えんしゅつ
往返明信片[往復～](名) おうふくはがき
大约在可接受的范围内/还算可以/草草了事(副) そこそこ
～饭店[飯店](专) はんてん
下次的[来る](连体) きたる
评论[評論](名·サ变他) ひょうろん
春假[春休み](名) はるやすみ
老家/父母之家[実家](名) じっか
恋爱[恋](名·サ变自) こい
如珠玉般美丽璀璨/珍珠和玉石[珠玉](名) しゅぎょく
爱情故事(名) ラブストーリー
户外/室外/露天[屋外](名) おくがい
体育场[競技場](名) きょうぎじょう
爱称/昵称[愛称](名) あいしょう
鸟巢[鳥の巣](专) とりのす
世纪[世紀](名) せいき
幕/帐幕[幕](名) まく
夏季[夏季](名) かき
首尔(专) ソウル
历史上[史上](名) しじょう
夸耀[誇る](动1自) ほこる
盛典/庆祝式[祭典](名) さいてん
金[金](名) きん
