铜[銅](名) どう
展开/打开/进行/开展[繰り広げる](动2他) くりひろげる
竞争/战斗[戦い](名) たたかい
竞技/比赛[競技](名) きょうぎ
受/蒙/遭[浴びる](动2他) あびる
率领/带领[率いる](动2他) ひきいる
世上/人间[世](名) よ
送出[送り出す](动1他) おくりだす
不可动摇/坚定[不動](名) ふどう
观众[観衆](名) かんしゅう
看到/看准/看清[見届ける](动2他) みとどける
被钉住/钉住[釘付け](名) くぎづけ
大量/很多(副) ふんだん
要素[要素](名) ようそ
中央[中央](名) ちゅうおう
放映出来[映し出す](动1他) うつしだす
画卷[絵巻物](名) えまきもの
辉煌/耀眼[輝かしい](形1) かがやかしい
描绘出[描き出す](动1他) えがきだす
古代[古代](名) こだい
火药[火薬](名) かやく
活字印刷[活版印刷](名) かっぱんいんさつ
指南针[羅針盤](名) らしんばん
焦点[焦点](名) しょうてん
使(局部)接触/猜/指派/写给/寄给[当てる](动2他) あてる
主题/中心思想(名) モチーフ
敬意[敬意](名) けいい
到处[至る所](名) いたるところ
洋溢/饱满[満ちあふれる](动2自) みちあふれる
结束/总结[締めくくる](动1他) しめくくる
圣火台[聖火台](名) せいかだい
圣火[聖火](名) せいか
点火[点火](名·サ变自他) てんか
胆子[度肝](名) どぎも
继承/承继[受け継ぐ](动1他) うけつぐ
跑者/(棒球)跑垒员(名) ランナー
钢丝绳/金属线(名) ワイヤー
空中[空中](名) くうちゅう
吊上来/吊起来[吊り上げる](动2他) つりあげる
最上面[最上部](名) さいじょうぶ
墙面[壁面](名) へきめん
迈步行进/游泳[遊泳する](名·サ变自) ゆうえいする
迹/痕迹[跡](名) あと
传递/接力(名) リレー
回转一圈卷起/回转(副) くるりと
