聚光灯(名) スポットライト
出现[現す](动1他) あらわす
导火线[導火線](名) どうかせん
最高潮(名) クライマックス
面纱(名) ベール
化为/变成[化す](动1他) かす
重新拍[撮り直す](动1他) とりなおす
仅/只/单[単に](副) たんに
最高峰/最高潮[最高峰](名) さいこうほう
竞赛/争夺[競い合い](名) きそいめい
表面的[表面的](形2) ひょうめんてき
尊敬/敬仰[尊敬](名·サ变他) そんけい
支持/证实/印证[裏付ける](动2他) うらづける
巧妙/精巧[巧み](形2) たくみ
开幕/开始[幕を開ける] まくをあける
受到瞩目/被关注[注目を浴びる] ちゅうもくをあびる
向世间奉献/让…问世[世に送り出す] よにおくりだす
使大吃一惊[度肝を抜く] どぎもをぬく
追赶[跡を追う] あとをおう
显现[姿を現す] すがたをあらわす
发出大声[声を上げる] こえをあげる
使开花[花を咲かせる] はなをさかせる
下功夫/讲究[凝る](动1自) こる
逃跑/逃亡[逃亡](名·サ变自) とうぼう
路线/途径(名) ルート
小心/提防[用心](名·サ变自他) ようじん
本学(府)/本校[本学](名) ほんがく
宪法[憲法](名) けんぽう
修正/改正[改正](名·サ变他) かいせい
白热化/最热烈[白熱する](名·サ变自) はくねつする
捐款/捐资[献金](名·サ变自) けんきん
疑团[疑惑](名) ぎわく
浮出水面[浮上する](名·サ变自) ふじょうする
知事/首长[知事] ちじ
内阁总理[総理] そうり
实业界[実業界](名) じつぎょうかい
学术界[学界](名) がっかい
毕业生[卒業生](名) そつぎょうせい
辈出/涌现出[輩出する](名·サ变自他) はいしゅつする
地位[地位](名) ちい
驾驶/操纵[操縦](名·サ变他) そうじゅう
加盟/加入[加盟する](名·サ变自) かめいする
化妆水[化粧水](名) けしょうすい
国内外[国内外](名) こくないがい
捐款[義援金](名) ぎえんきん
