模糊/不清楚(动2自) ぼやける
经费[経費](名) けいひ
追究/追求[追究](名·サ变他) ついきゅう
审议[審議](名·サ变他) しんぎ
答辩[答弁](名·サ变自) とうべん
原形/真面目/意识[正体](名) しょうたい
站着阅读[立ち読み](名·サ变他) たちよみ
高速球/快球[剛速球](名) ごうそっきゅう
大家/全体[皆](名) みな
到达[たどり着く](动1自) たどりつく
改革[改革](名·サ变他) かいかく
被火烧光的荒野[焼け野原](名) やけのはら
书房[書斎](名) しょさい
概要/梗概[要約](名·サ变他) ようやく
改写[書き替える](动2他) かきかえる
破坏/毁坏/摧毁[破壊する](名·サ变他) はかいする
溃决/决口[決壊する](名·サ变自他) けっかいする
逆转/倒过来[逆転](名·サ变自他) ぎゃくてん
摆脱/脱出[抜け出す](动1他) ぬけだす
年轻/年幼/少年/青年[年少](名) ねんしょう
奖金王/第1奖金得主[賞金王](名) しょうきんおう
山路/山道[山道](名) やまみち
熊(名) クマ
一堂/一处[一堂](名) いちどう
世界杯(专) ワールドカップ
招引/招致[招致](名·サ变他) しょうち
运用/驱使[駆使する](名·サ变他) くしする
通过宣传而引起注意/呼吁/打动人心(名·サ变自他) アピールする
睡眠不足[寝不足](名) ねぶそく
古玩[骨董](名) こっとう
一大排/成排地(副) ずらっと
收成/年成/结果/质量(名) でき
暂时/一时[当分](名) とうぶん
通过/经过[通り過ぎる](动2自) とおりすぎる
最多[最多](名) さいた
更(副) より
参展/展出[出展](名·サ变自他) しゅってん
占地[敷地](名) しきち
面积[面積](名) めんせき
两端[両端](名) りょうたん
放出(烟花)[打ち上げる](动2他) うちあげる
同盟/联盟/联合会(名) リーグ
卡塔尔(专) カタール
完备/齐全[完備する](名·サ变自) かんびする
才艺/技艺[習い事](名) ならいごと
