二胡[二胡](名) にこ
余味/余韵/余音[余韻](名) よいん
沉浸/陶醉[浸る](动1自) ひたる
乐音/音色/声音[音](名) ね
乡愁[郷愁](名) きょうしゅう
背面/后面[裏](名) うら
试验/尝试[試し](名) ためし
体验课[体験入学](名) たいけんにゅうがく
课/课程(名) レッスン
官方(的)/正式(的)(形2) オフィシャル
欢迎/热烈欢迎(副) ようこそ
人物简介/小传(名) プロフィール
乐团[楽団](名) がくだん
独奏者/独唱者(名) ソリスト
后/之后/以后[後](名) のち
(歌曲)专辑(名) ＣＤアルバム
发行/发刊(名·サ变他) リリース
限于/只/止于(动1自) とどまる
自己动手[手がける](动2他) てがける
演奏者[奏者](名) そうしゃ
民俗[民俗](名) みんぞく
乐器[楽器](名) がっき
融合/合并[融合](名·サ变自) ゆうごう
名曲[名曲](名) めいきょく
系列/连续/一套(名) シリーズ
共同制作(名) コラボレーション
和着/伴随着/乘载[乗せる](动2他) のせる
点播/要求/希望(名·サ变他) リクエスト
响应/反应/报答[応える](动2自) こたえる
古典[古典](名) こてん
开门/入场[開場](名·サ变自) かいじょう
开演[開演](名·サ变自) かいえん
剧场/大厅/大堂(专) ホール
预售/预先售票[前売り](名) まえうり
赞助/支援[後援](名) こうえん
回声/音响[響き](名) ひびき
伤感[物悲しさ](名) ものがなしさ
北方[北方](名) ほっぽう
外来民族/异民族[異民族](名) いみんぞく
西方[西方](名) せいほう
合奏[合奏](名·サ变他) がっそう
说唱的故事[語り物](名) かたりもの
伴奏[伴奏](名·サ变他) ばんそう
弓[弓](名) ゆみ
