弦[弦](名) げん
夹[挟まる](动1自) はさまる
一面/单面[片面](名) かためん
合奏(名/サ变自) セッション
福冈[福岡](专) ふくおか
梦想/幻想/做梦[夢見る](动2他) ゆめみる
努力/刻苦/勤勉[励む](动1自) はげむ
晚会/傍晚/黄昏[夕べ](名) ゆうべ
热情的[情熱的](形2) じょうねつてき
奏/演奏[奏でる](动2他) かなでる
不知何时/不知不觉(副) いつのまにか
清晰悦耳/清澈[澄む](动1自) すむ
清晰悦耳/清澈透明[澄みきる](动1自) すみきる
平时/平常[日ごろ](名) ひごろ
享受/十分满意[堪能する](名·サ变自他) たんのうする
打动心灵/扣人心弦[心を打つ] こころをうつ
浮现眼前[目に浮かぶ] めにうかぶ
翘首盼望[首を長くする] くびをながくする
饮料(名) ドリンク
资料/文件/记录/文献(名) ドキュメント
内容/目录/目次(名) コンテンツ
误导(名·サ变他) ミスリードする
错/弄错[誤る](动1自他) あやまる
引导/导致[導く](动1他) みちびく
名胜/风景优美的地方[景勝地](名) けいしょうち
轻快/轻松愉快[軽快](形2) けいかい
舞/舞蹈[踊り](名) おどり
呼吁/呼唤[呼びかけ](名) よびかけ
定数/定额[定数](名) ていすう
第一名/首席[首席](名) しゅせき
耸立(动2自) そびえる
前方[前方](名) ぜんぽう
睡觉/睡眠[眠り](名) ねむり
憔悴[憔悴する](名·サ变自) しょうすいする
参加/出席[参列](名·サ变自) さんれつ
温暖[暖か](形2) あたたか
气候/天气/季节/时令[陽気](名) ようき
理论[理論](名) りろん
错误[誤り](名) あやまり
现场演奏[生演奏](名·サ变他) なまえんそう
功能的[機能的](形2) きのうてき
独创的[独創的](形2) どくそうてき
指挥棒(名) タクト
胆量/肝脏[肝](名) きも
镇定/沉着[据わる](动1自) すわる
