握/抓[握る](动1他) にぎる
心/心脏/胸/胸部[胸](名) むね
歪/倾斜[傾げる](动2他) かしげる
棍子/棒子[棒](名) ぼう
进展[進展](名·サ变自) しんてん
变弱/衰弱[弱る](动1自) よわる
擅长[堪能する](形2) たんのう
日光[日光](专) にっこう
观赏红叶[紅葉狩り](名) もみじがり
袒护[肩を持つ] かたをもつ
有胆量/有度量/胸怀宽广[肝が据わる] きもがすわる
捏把汗[手に汗握る] てにあせにぎる
感动[胸を打つ] むねをうつ
不解[首を傾げる] くびをかしげる
腿累直了[足を棒にする] あしをぼうにする
动起来[腰を上げる] こしをあげる
时间序列[時系列](名) じけいれつ
移动/转移[移す](动1他) うつす
出售/上市[売り出す](动1他) うりだす
观点[観点](名) かんてん
弦乐器[弦楽器](名) げんがっき
鸣声/啼声[鳴き声](名) なきごえ
动摇/心慌[動じる](动2自) どうじる
情景[情景](名) じょうけい
失明/失去理智[盲目](名) もうもく
听众[聴衆](名) ちょうしゅう
自动售货机[自動販売機](名) じどうはんばいき
(呆着或居住的)心情/感觉[居心地](名) いごこち
控制[抑える](动2他) おさえる
可移动式[可動式](名) かどうしき
异国[異国](名) いこく
初次登台/初出茅庐(名·サ变自) デビューする
装饰用品/附属品(名) アクセサリー
徽章/证章(名) バッジ
大少爷/贵公子/令郎/您家儿子[お坊ちゃん](名) おぼっちゃん
抽象[抽象](名) ちゅうしょう
离开现实/不切实际[現実離れする](名·サ变自) げんじつばなれする
清洁的/卫生的[衛生的](形2) えいせいてき
强硬/逞强[強気](名·形2) つよき
朴素/俭朴[質素](形2) しっそ
节俭/节约[倹約](名) けんやく
冗长乏味/唠叨(形1) くどい
执拗/纠缠不休(形1) しつこい
发痒/难为情(形1) くすぐったい
画/绘/描绘[描く](动1他) えがく
