木制[木造](名) もくぞう
宠物店(名) ペットショップ
次数[回数](名) かいすう
作文[作文](名·サ变自他) さくぶん
宣传口号(名) キャッチコピー
演出公司/制片厂(名) プロダクション
声乐/歌唱(名) ボーカル
暴风雨(专) ストーム
歌手/声乐家(名) シンガー
联合音乐会(名) ジョイントコンサート
歌唱[歌唱](名·サ变自) かしょう
水平(名) レベル
年轻的/青年[若手](名) わかて
两者[両者](名) りょうしゃ
冲击[衝撃的](形2) しょうげきてき
总监/指挥/导演(名) ディレクター
支持/支援/赞助(名·サ变他) サポート
世界第一[世界一](名) せかいいち
我方/同伙[味方](名) みかた
自己作词作曲的歌手(名) シンガーソングライター
强手/实力强大[強豪](名) きょうごう
强校/实力强的学校[強豪校](名) きょうごうこう
同学/同窗[同窓生](名) どうそうせい
热衷/专心致志[熱中する](名·サ变自) ねっちゅうする
全国高中综合体育大赛(专) インターハイ
结果上[結果的](形2) けっかてき
地方的缩略形式(名) とこ
篮球的缩略形式(名) バスケ
父亲/爸爸/老头子[親父](名) おやじ
背后/脊背/脊梁[背中](名) せなか
血缘/血统/血/血液[血](名) ち
争辩/争论/争夺/斗争[争う](动1他) あらそう
溺爱子女的父母[親ばか](名) おやばか
压哨球(名) ブザービート
传递/传送(名·サ变他) パスする
合作/协作(名) チームワーク
龙生龙/凤生凤[血は争えない] ちはあらそえない
净/光/只是 ばっかり
课外社团活动[部活動](名) ぶかつどう
我校/该校[当校](名) とうこう
体育[体育](名) たいいく
文武双全[文武両道](名) ぶんぶりょうどう
硬式棒球[硬式野球](名) こうしきやきゅう
甲子园[甲子園](专) こうしえん
全国冠军[全国制覇](名) ぜんこくせいは
