本校[本校](名) ほんこう
剑道[剣道](名) けんどう
练习/训练/学习[稽古](名·サ变他) けいこ
学术[学術](名) がくじゅつ
吹奏乐[吹奏楽](名) すいそうがく
书法甲子园[書の甲子園](专) しょのこうしえん
通称/俗称[通称](名) つうしょう
团体[団体](名) だんたい
毛笔[毛筆](名) もうひつ
硬笔[硬筆](名) こうひつ
假名(名) かな
展出作品[出品する](名·サ变自他) しゅっぴんする
放学后[放課後](名) ほうかご
教授课程/教授科目[教科](名) きょうか
自主的[自主的](形2) じしゅてき
有无[有無](名) うむ
校风[校風](名) こうふう
强调/主张/讴歌/歌颂(动1他) うたう
夜校[夜間学校](名) やかんがっこう
拥护[擁護する](名·サ变他) ようごする
私心/自私自利[利己心](名) りこしん
抑制/制止[抑制](名·サ变他) よくせい
身心[心身](名) しんしん
推荐/提倡[推奨する](名·サ变他) すいしょうする
饱尝/吃足[満喫する](名·サ变他) まんきつする
高中棒球[高校野球](专) こうこうやきゅう
全国大赛[全国大会](专) ぜんこくたいかい
兵库[兵庫](专) ひょうご
预选[予選](名) よせん
淘汰赛(名) トーナメントせん
青少年球员[球児](名) きゅうじ
培养[培う](动1他) つちかう
技能/本领[技](名) わざ
拼命/不惜/打赌[賭ける](动2他) かける
挑战/征服[挑む](动1他) いどむ
包租/全部租下[借り切る](动1他) かりきる
观战/观看比赛[観戦](名·サ变他) かんせん
母校[母校](名) ぼこう
情节/概要/节目表[筋書き](名) すじがき
托/托付/委托[託す](动1他) たくす
一举手一投足[一挙手一投足](名) いっきょしゅいっとうそく
别称[別称](名) べっしょう
杉并区[杉並区](专) すぎなみく
普门馆[普門館](专) ふもんかん
热情[情熱](名) じょうねつ
