一口一块大(一口大)[名] ひとくちだい
月牙形(くし形)[名] くしがた
滚刀块/随意切(乱切り)[名] らんぎり
切成碎柔(みじん切り)[名] みじんぎり
厚底/厚的(厚手)[名] あつで
加热(熱する)[サ变自他] ねっする
表面(表面)[名] ひょうめん
炒/前/烤后的颜色(焼き色)[名] やきいろ
中火(中火)[名] ちゅうび
暂且/姑且/一旦(一旦)[副] いったん
取出(取り出す)[动1他] とりだす
再次/重新(新た)[形2] あらた
弱火/文火(弱火)[名] よわび
透明/清澈(透き通る)[动1自] すきとおる
沸腾(沸騰する)[名/サ变自] ふっとうする
浮沫/涩味(灰汁)[名] あく
适当/恰当/敷衍(適当)[形2] てきとう
糊状[名] とろみ
盛/装(盛り付ける)[动2他] もりつける
调味秘诀/少量调料(隠し味)[名] かくしあじ
浓味[名] こく
鲜美的味道[名] うまみ
少一些(少なめ)[名] すくなめ
逸失/放过/错过(逃す)[动1他] のがす
涂抹/涂满[动1他] まぶす
想出/想到(思いつく)[动1他] おもいつく
误以为/深信不疑/固执地认为(思い込む)[动1自] おもいこむ
词源(語源)[名] ごげん
新式/新方法(新式)[名] しんしき
老式/旧方法(旧式)[名] きゅうしき
省略形式(略式)[名] りゃくしき
记名式(記名式)[名] きめいしき
折叠式(折りたたみ式)[名] おりたたみしき
电动式(電動式)[名] でんどうしき
工艺(工芸)[名] こうげい
先进/发达(先進)[名] せんしん
各国/诸国(諸国)[名] しょこく
濒临/面临(瀕する)[サ变自] ひんする
危险的(危機的)[形2] ききてき
未知(未知)[名] みち
行星(惑星)[名] わくせい
探测器(探査機)[名] たんさき
返回(帰還)[名/サ变自] きかん
敬佩/敬重(敬愛する)[名/サ变他] けいあいする
希腊[专] ギリシャ
