奋战/奋斗[奮闘する](名·サ变自) ふんとうする
想起/联想到[想起する](名·サ变他) そうきする
综合[総合](名) そうごう
项目[種目](名) しゅもく
依次/顺次/逐渐[順次](副) じゅんじ
完全取胜[勝ち抜く](动1自) かちぬく
田径赛[陸上競技](名) りくじょうきょうぎ
橄榄球(名) ラグビー
热衷/迷恋/打进[打ち込む](动1他) うちこむ
业余爱好者(名) アマチュア
一把/少量[一握り](名) ひとにぎり
终身/一生[一生涯](名) いっしょうがい
培养/养成/养育[養う](动1他) やしなう
寄托梦想[夢を託す] ゆめをたくす
倾注热情[情熱をかける] じょうねつをかける
不可替代的 かけがえのない
文科/文科类[文系](名) ぶんけい
文科[文科](名) ぶんか
理科/理科类[理系](名) りけい
理科[理科](名) りか
属于/从属[属する](名·サ变自) ぞくする
生态[生態](名) せいたい
神经[神経](名) しんけい
患病/生病/苦恼[患う](动1他) わずらう
外资[外資](名) がいし
视觉的(形2) ビジュアル
体育领域[体育会系](名) たいいくかいけい
风气/风尚/气质/气派[気風](名) きふう
武艺[武](名) ぶ
擅长/优秀[秀でる](动2自) ひいでる
武将[武将](名) ぶしょう
夺得冠军/称霸[制覇](名·サ变他) せいは
连续/接连[連続](名·サ变自他) れんぞく
达到/完成[成し遂げる](动2他) なしとげる
癌症(名) がん
寄宿制[全寮制](名) ぜんりょうせい
昼夜/每天/经常不断[日夜](名) にちや
学业[学業](名) がくぎょう
茶道[茶道](名) さどう
花道/日本式插花术[華道](名) かどう
学艺[稽古事](名) けいこごと
您的孩子[お子さま](名) おこさま
业绩/实绩[実績](名) じっせき
学问/学业[学問](名) がくもん
初战[初戦](名) しょせん
