败北/告负/战败[敗れる](动2自) やぶれる
忠言/忠告[苦言](名) くげん
呈递/提/进[呈する](名·サ变他) ていする
冒/不顾[冒す](动1他) おかす
公司名/社名[社名](名) しゃめい
幸福[幸福](名·形2) こうふく
不幸[不幸](名·形2) ふこう
匹敌/比得上[匹敵する](名·サ变自) ひってきする
使损伤/使痛苦[痛める](动2他) いためる
袭击/侵袭[襲う](动1他) おそう
平静/安稳[平穏](形2) へいおん
恢复/挽回/取回[取り戻す](动1他) とりもどす
夜里逃跑[夜逃げする](名·サ变自) よにげする
筹措/筹备[調達](名·サ变他) ちょうたつ
别墅[山荘](名) さんそう
卖掉/出售[売却する](名·サ变他) ばいきゃくする
蜂(名) ハチ
装进/装入[詰め込む](动1他) つめこむ
西式浓汤/西式炖菜(名) シチュー
慢慢地/踏实地(副) じっくり
国会议事厅[国会議事堂](专) こっかいぎじどう
坐着不走[座り込む](动1自) すわりこむ
发展中国家[発展途上国](名) はってんとじょうこく
泛滥[氾濫](名·サ变自) はんらん
桩子[杭](名) くい
河岸/河边[川岸](名) かわぎし
订货单[注文書](名) ちゅうもんしょ
老替换的东西/代替的东西(名) かけがえ
进忠言/提忠告[苦言を呈する] くげんをていする
冒险[危険を冒す] 危険を冒す
稳步顺利地[着々と](副) ちゃくちゃくと
自我[自己](名) じこ
经历/来历[経歴](名) けいれき
感谢信[礼状](名) れいじょう
迷路的孩子/走失的孩子[迷子](名) まいご
数人/几人[数人](名) すうにん
折/弄断[折る](动1他) おる
实现/满足……的愿望(动2他) かなえる
名门/名校[名門](名) めいもん
阪神学园[阪神学園](专) はんしんがくえん
两立/兼顾[両立](名·サ变自) りょうりつ
难题/难问题[難問](名) なんもん
继承/连接/接上[継ぐ](动1他) つぐ
引退/退职[引退する](名·サ变自) いんたいする
外相/外长[外相](名) がいしょう
辞职/辞任[辞任する](名·サ变自他) じにんする
