本赛季/本期[今期](名) こんき
强大/强有力/力量大[強力](形2) きょうりょく
支持者/拥护者/赞助者(名) サポーター
热烈/热情[熱烈](形2) ねつれつ
一体/同心/合力[一体](名) いったい
私人/个人/非公开(形2) プライベート
水平高/地位高[格上](名) かくうえ
一团/一个整体[一丸](名) いちがん
各自/各位[各々](名) おのおの
谈论/漫谈[談議](名) だんぎ
一边倒[一辺倒](名) いっぺんとう
决定性的[決定的](形2) けっていてき
最佳/最好(名) ベスト
战平/打成平局[引き分ける](动2他) ひきわける
被打败/受害/受灾 やられる
进展顺利/令人满意/很好/不差 いける
借高手陪练[胸を借りる] むねをかりる
毫无还手之力[手も足も出ない] てもあしもでない
具有公认评价/附有鉴定书[折り紙付き] おりがみつき
进球[ゴールを決める] ごーるをきめる
钦佩/敬佩/佩服[頭が下がる] あたまがさがる
同心协力[一体になる] いったいになる
团结一致[一丸となる] いちがんとなる
热火朝天/十分热闹[花が咲く] はながさく
成为一边倒[一辺倒になる] いっぺんとうになる
定额/劳动定额(名) ノルマ
完成/达成/成就[達成](名/サ变他) たっせい
刚……之后/紧接着/正后面[直後](名) ちょくご
受折磨/烦恼/苦于[苦しむ](动1他) くるしむ
延长/顺延[延長する](名/サ变他) えんちょうする
社会/世上/世间[世の中](名) よのなか
往事/故事[昔話](名) むかしばなし
闲聊/闲话/聊天[世間話](名) せけんばなし
手法/机关[仕掛け](名) しかけ
嫌疑/猜疑[疑い](名) うたがい
世间/今世/现世/今生[この世](名) このよ
复生/复活/苏醒[生き返る](动1自) いきかえす
函购[通販](名) つうはん
脚本/剧本[脚本](名) きゃくほん
噱头(名) ギャグ
拙劣的作品[駄作](名) ださく
危险(形1) あやうい
未赶上乘车时间/未赶上潮流[乗り遅れる](动2自) のりおくれる
主演/主角[主役](名) しゅやく
美元(名) ドル
