汇价[為替～](名) かわせレート
毫无根据[根も葉もない] ねもはもない
自取得成就/结出果实[実を結ぶ] みをむすぶ
转会/转队/迁移户口[移籍する](名/サ变自他) いせきする
候补/补缺[補欠](名) ほけつ
首发成员(名) スタメン
前列/前排[前列](名) ぜんれつ
日本影片/日本画[邦画](名) ほうが
修复[修復](名/サ变他) しゅうふく
音域[音域](名) おんいき
声音沙哑(形2) ハスキー
雪山[雪山](名) ゆきやま
章[章](专) あらき
名誉/荣誉/光荣[名誉](名/形2) めいよ
名誉教授[名誉教授](名) めいよきょうじゅ
特聘教授[特別教授](名) とくべつきょうじゅ
合成[合成](名) ごうせい
液晶[液晶](名) えきしょう
前一天[前日](名) ぜんじつ
首发/先发/先遣/先动身[先発](名/サ变自) せんぱつ
1号击球员[一番打者](名) いちばんだしゃ
获胜晋级[勝ち進む](动1自) かちすすむ
决定胜负的招数/解决办法[決め手](名) きめて
奋斗/勇敢斗争[健闘](名/サ变自) けんとう
售完/售空[完売](名/サ变自) かんばい
演奏节目/专攻领域/研究领域(名) レパートリー
后进/晚辈[後輩](名) こうはい
奋勇前进[突き進む](动1自) つきすすむ
讲/谈[語る](动1自) かたる
概率/几率[確率](名) かくりつ
抵达/到达[到達する](名/サ变自) とうたつする
化学[化学](名) かがく
积极/朝前看[前向き](名/形2) まえむき
家伙/小子(名) やつ
投球手[投手](名) とうしゅ
反响/反应[反応](名/サ变自) はんのう
入迷/被……吸引[引かれる] ひかれる
惊人/骇人听闻/毫无道理[途方もない] とほうもない
安危/平安与否[安否](名) あんぴ
担心/惦念/牵挂[気遣う](动1他) きづかう
青海省[青海省](专) せいかいしょう
里氏/震级(名) マグニチュード
塌陷/塌方[土砂崩れ](名) どしゃくずれ
内陆[内陸](名) ないりく
很快/立刻/忽然/突然(副) たちまち
