智利(专) チリ
警报[警報](名) けいほう
大混乱/大吵大闹[大騒ぎ](名) おおさわぎ
镰仓[鎌倉](专) かまくら
波/波浪[波](名) なみ
一旦(副) いざ
看过去[目をやる] めをやる
紧急的时候/紧急时刻[いざという時] いざというとき
从未有过/未曾有[未曾有](名) みぞう
遭受/探望[見舞う](动1他) みまう
震源区[震源域](名) しんげんいき
地壳/地基/地盘[地盤](名) じばん
岩石[岩石](名) がんせき
岩手[岩手](专) いわて
关东[関東](专) かんとう
茨城[茨城](专) いばらき
宽[幅](名) はば
范围广大[広範囲](名) こうはんい
余震[余震](名) よしん
频发[多発する](名/サ变自) たはつする
东日本[東日本](名) ひがしにほん
毁灭的[壊滅的](形2) かいめつてき
原子能/核能[原子力](名) げんしりょく
发电站[発電所](名) はつでんしょ
诱发[誘発する](名/サ变他) ゆうはつする
去向/下落/行踪[行方](名) ゆくえ
达/达到[達する](サ变自) たっする
地壳[地殻](名) ちかく
变动/变化/波动[変動](名/サ变自) へんどう
推上去/顶上去[押し上げる](动2他) おしあげる
上下运动[上下動する](名/サ变自) じょうげどうする
水位[水位](名) すいい
一般的[一般的](形2) いっぱんてき
波浪[波浪](名) はろう
波長[波長](名) はちょう
整个儿/整体(副) まるごと
势力/势头[勢い](名) いきおい
陆地上[陸上](名) りくじょう
冲上/跑上[駆け上がる](动1自) かけあがる
海中/海里[海中](名) かいちゅう
拉进来/拽入[引き込む](动1他) ひきこむ
原形/原貌[原形](名) げんけい
存留/保留/遗留[留める](动2他) とどめる
海平面[海水面](名) かいすいめん
地震灾害[震災](名) しんさい
