深/深邃/深远[奥深い](形1) おくふかい
文献[文献](名) ぶんけん
记载[記す](动1他) しるす
引起[引き起こす](动1他) ひきおこす
相似/类似[類似する](名/サ变自) るいじする
教训[教訓](名) きょうくん
堤[堤防](名) ていぼう
发布命令[発令する](名/サ变他) はつれいする
很快地/迅速地[いち早く](副) いちはやく
轻松地/轻易地[軽々と](副) かるがると
溯流而上[遡上する](名/サ变自他) そじょうする
吞下/咽下/理解/领会[飲み込む](动1他) のみこむ
营生/办事业/经营[営む](动1他) いとなむ
恩泽[恵み](名) めぐみ
生计[生計](名) せいけい
超绝[絶する](サ变自他) ぜっする
实际状况[実態](名) じったい
掌握[把握する](名/サ变他) はあくする
倒塌[倒壊する](名/サ变自) とうかいする
山体崩塌[山崩れ](名) やまくずれ
人命[人命](名) じんめい
基础[基盤](名) きばん
夺去/失去/抢夺[奪う](动1他) うばう
天灾[天災](名) てんさい
准备/预备[備え](名) そなえ
忧愁/痛苦/苦闷[憂い](名) うれい
室内/屋里[室内](名) しつない
砖墙[～塀](名) ブロックべい
石墙[石塀](名) いしべい
电线杆[電柱](名) でんちゅう
尽量(副) なるべく
瓦砾(名) がれき
碎片[破片](名) はへん
御寒用品[防寒具](名) ぼうかんぐ
没有留下原貌的痕迹[原形をとどめない] げんけいをとどめない
目睹[目の当たりにする] めのあたりにする
维持生活[生活を営む] せいかつをいとなむ
谋生[生計を立てる] せいけいをたてる
超出想像[想像を絶する] そうぞうをぜっする
有备无患[備えあれば憂いない] そなえあればうれいない
病人[病人](名) びょうにん
拳击/打孔机(名) バンチ
日照[日照](名) にっしょう
庄稼/作物[作物](名) さくもつ
来去/来往[行き来](名/サ变自) いきき
